,epochs,baseline,std_baseline,hybrid_self_transfer,std_hybrid_self_transfer,self_transfer_full_fine_tuning,std_self_transfer_full_fine_tuning
41,41,0.9433333333333334,0.012222222222222245,0.96,0.0,0.9488888888888889,0.02444444444444449
42,42,0.951111111111111,0.006666666666666654,0.96,0.0,0.9477777777777778,0.02999999999999997
43,43,0.9555555555555555,0.013333333333333364,0.9688888888888889,0.0,0.9477777777777778,0.03888888888888892
44,44,0.9633333333333334,0.014444444444444426,0.9733333333333334,0.0,0.9444444444444444,0.0377777777777778
45,45,0.9622222222222222,0.015555555555555545,0.9688888888888889,0.0,0.9444444444444444,0.0377777777777778
46,46,0.9644444444444444,0.011111111111111072,0.9733333333333334,0.0,0.9444444444444444,0.0377777777777778
47,47,0.97,0.010000000000000009,0.9844444444444445,0.0,0.9433333333333334,0.03888888888888886
48,48,0.9722222222222222,0.0033333333333332993,0.9866666666666667,0.0,0.9355555555555556,0.04888888888888887
49,49,0.9788888888888889,0.003333333333333355,0.9822222222222222,0.0,0.9244444444444444,0.053333333333333344
50,50,0.9777777777777777,0.0,0.9822222222222222,0.0,0.9133333333333333,0.06444444444444442
51,51,0.9788888888888889,0.0011111111111111183,0.9777777777777777,0.0,0.9155555555555556,0.06222222222222218
52,52,0.9833333333333334,0.0011111111111111183,0.9822222222222222,0.0,0.9155555555555556,0.05555555555555558
53,53,0.981111111111111,0.0011111111111111183,0.9844444444444445,0.0,0.9199999999999999,0.05777777777777776
54,54,0.9777777777777779,0.0044444444444444176,0.9866666666666667,0.0,0.9255555555555556,0.043333333333333335
55,55,0.9766666666666667,0.007777777777777772,0.98,0.0,0.9311111111111111,0.04222222222222227
56,56,0.9777777777777779,0.00888888888888889,0.9688888888888889,0.0,0.9288888888888889,0.04222222222222222
57,57,0.97,0.012222222222222245,0.9688888888888889,0.0,0.9244444444444444,0.04444444444444445
58,58,0.9711111111111111,0.015555555555555545,0.9711111111111111,0.0,0.9077777777777778,0.06333333333333335
59,59,0.97,0.012222222222222245,0.9688888888888889,0.0,0.9066666666666667,0.062222222222222234
60,60,0.9688888888888889,0.006666666666666654,0.9644444444444444,0.0,0.9077777777777778,0.052222222222222225
61,61,0.9677777777777777,0.007777777777777772,0.9688888888888889,0.0,0.9122222222222223,0.04777777777777775
62,62,0.9666666666666666,0.00888888888888889,0.96,0.0,0.9177777777777778,0.04666666666666669
63,63,0.9655555555555555,0.01222222222222219,0.96,0.0,0.9311111111111111,0.0377777777777778
64,64,0.9588888888888889,0.007777777777777772,0.9688888888888889,0.0,0.9344444444444444,0.034444444444444444
65,65,0.9522222222222222,0.010000000000000009,0.9733333333333334,0.0,0.9311111111111111,0.03555555555555556
66,66,0.951111111111111,0.011111111111111127,0.9755555555555555,0.0,0.9366666666666666,0.02777777777777779
67,67,0.9533333333333334,0.0044444444444444176,0.9711111111111111,0.0,0.9355555555555556,0.020000000000000018
68,68,0.9566666666666667,0.0011111111111110628,0.9644444444444444,0.0,0.9344444444444444,0.023333333333333317
69,69,0.961111111111111,0.003333333333333355,0.9666666666666667,0.0,0.9488888888888889,0.01777777777777778
70,70,0.9655555555555555,0.0011111111111111183,0.96,0.0,0.9522222222222223,0.014444444444444426
71,71,0.9677777777777778,0.0011111111111111183,0.9644444444444444,0.0,0.9522222222222223,0.014444444444444426
72,72,0.9744444444444444,0.0011111111111110628,0.9666666666666667,0.0,0.9622222222222223,0.00888888888888889
73,73,0.9811111111111112,0.007777777777777772,0.9644444444444444,0.0,0.9566666666666667,0.010000000000000009
74,74,0.9733333333333334,0.0044444444444444176,0.9622222222222222,0.0,0.9622222222222223,0.006666666666666654
75,75,0.9688888888888889,0.0,0.9666666666666667,0.0,0.9644444444444444,0.00666666666666671
76,76,0.9688888888888889,0.006666666666666654,0.9688888888888889,0.0,0.9644444444444444,0.0
77,77,0.9633333333333334,0.007777777777777772,0.9666666666666667,0.0,0.9633333333333334,0.003333333333333355
78,78,0.9644444444444444,0.011111111111111072,0.9755555555555555,0.0,0.961111111111111,0.003333333333333355
79,79,0.9755555555555555,0.00888888888888889,0.9777777777777777,0.0,0.96,0.006666666666666654
80,80,0.9688888888888889,0.006666666666666654,0.9755555555555555,0.0,0.96,0.006666666666666654
81,81,0.9722222222222223,0.0011111111111111183,0.9755555555555555,0.0,0.9577777777777778,0.002222222222222181
82,82,0.9722222222222223,0.0011111111111111183,0.98,0.0,0.9555555555555555,0.002222222222222181
83,83,0.9677777777777777,0.007777777777777772,0.9711111111111111,0.0,0.9544444444444444,0.0011111111111111183
84,84,0.9755555555555555,0.0044444444444444176,0.9777777777777777,0.0,0.9588888888888889,0.0011111111111111183
85,85,0.98,0.006666666666666654,0.98,0.0,0.9633333333333334,0.003333333333333355
86,86,0.9788888888888889,0.007777777777777772,0.9822222222222222,0.0,0.9644444444444444,0.0
87,87,0.9866666666666666,0.006666666666666654,0.9844444444444445,0.0,0.9677777777777778,0.003333333333333355
88,88,0.9822222222222222,0.004444444444444473,0.9844444444444445,0.0,0.9655555555555555,0.0011111111111111183
89,89,0.9711111111111111,0.0022222222222222365,0.9755555555555555,0.0,0.9633333333333334,0.0011111111111111183
90,90,0.9666666666666667,0.0022222222222222365,0.9733333333333334,0.0,0.96,0.0
91,91,0.9655555555555555,0.005555555555555591,0.9644444444444444,0.0,0.9633333333333334,0.003333333333333355
92,92,0.9633333333333334,0.005555555555555591,0.9622222222222222,0.0,0.9611111111111111,0.007777777777777772
93,93,0.96,0.011111111111111127,0.9688888888888889,0.0,0.9555555555555555,0.00888888888888889
94,94,0.9677777777777777,0.010000000000000009,0.9688888888888889,0.0,0.9566666666666667,0.005555555555555536
95,95,0.971111111111111,0.006666666666666654,0.9688888888888889,0.0,0.9555555555555556,0.0
96,96,0.9733333333333334,0.0044444444444444176,0.9733333333333334,0.0,0.9533333333333334,0.0044444444444444176
97,97,0.9733333333333334,0.0044444444444444176,0.9666666666666667,0.0,0.951111111111111,0.00888888888888889
98,98,0.9755555555555555,0.006666666666666654,0.9711111111111111,0.0,0.9555555555555555,0.006666666666666654
99,99,0.9722222222222222,0.0033333333333332993,0.9755555555555555,0.0,0.9555555555555555,0.011111111111111127
100,100,0.9766666666666667,0.0033333333333332993,0.9777777777777777,0.0,0.9622222222222223,0.00888888888888889
101,101,0.9744444444444444,0.005555555555555536,0.9755555555555555,0.0,0.9622222222222222,0.0022222222222222365
102,102,0.9733333333333334,0.006666666666666654,0.98,0.0,0.9566666666666667,0.005555555555555536
103,103,0.9755555555555555,0.0044444444444444176,0.98,0.0,0.9577777777777778,0.0044444444444444176
104,104,0.9744444444444444,0.0033333333333332993,0.9755555555555555,0.0,0.9577777777777778,0.0044444444444444176
105,105,0.9766666666666667,0.005555555555555536,0.9688888888888889,0.0,0.9533333333333334,0.011111111111111127
106,106,0.9777777777777779,0.0044444444444444176,0.9711111111111111,0.0,0.9544444444444444,0.016666666666666663
107,107,0.9766666666666667,0.005555555555555536,0.9688888888888889,0.0,0.951111111111111,0.006666666666666654
