episodes	DQV	DDQN	DQN	Upside-Down
84	122.5438002857	29.8225806452	50.7774193548	196.9015056482
85	124.0048499887	30.3838709677	53.2032258065	196.3450475252
86	125.9917662982	31.1387096774	55.7548387097	194.302720957
87	128.584292052	32.1193548387	58.2387096774	191.396000813
88	130.7294533424	32.7677419355	60.764516129	188.674797481
89	132.1794119859	33.7258064516	63.2903225806	186.8199977405
90	132.1668546507	34.4516129032	65.8741935484	185.7287095797
91	131.8244604858	35.4838709677	68.3580645161	184.5756209249
92	131.2183998797	36.1741935484	71.1096774194	181.9908123179
93	131.989209715	36.5161290323	73.5161290323	176.973467169
94	133.7288141966	37.2741935484	75.9290322581	170.6728496588
95	135.4045792917	37.7838709677	78.1612903226	166.5624698793
96	136.760094744	38.1709677419	80.6451612903	167.4177644256
97	138.0481991127	38.8516129032	83.2387096774	172.4408975508
98	139.0947439657	39.5064516129	85.5387096774	178.4353724773
99	139.9794721408	40.4870967742	87.5161290323	183.2099211934
100	140.8183698023	40.8483870968	90.2806451613	186.7266909091
101	141.0486502745	41.3290322581	92.4	189.5825080303
102	141.1021881345	42.2419354839	94.6387096774	191.7477135083
103	141.7896082412	43.1516129032	96.4419354839	192.7097264689
104	142.3326941875	43.9774193548	97.8741935484	192.023872299
105	142.888337469	45.1838709677	99.4064516129	189.8059463695
106	143.1839987969	46.6838709677	100.9870967742	187.2501838508
107	142.5102639296	47.8677419355	101.764516129	186.2304443278
108	140.7962252801	49.5806451613	102.8967741935	187.5858191204
109	138.4888337469	51.6612903226	104.1129032258	189.8835281716
110	136.6531694112	53.0838709677	104.6032258065	190.4403964224
111	134.9973306264	54.9483870968	105.5935483871	187.7540794311
112	134.2159936837	56.9258064516	106.6064516129	183.0737927733
113	134.5830137604	59.4193548387	107.0903225806	179.6938670941
114	134.0882773141	61.3741935484	108.4903225806	180.3269771857
115	133.0820362433	63.7677419355	109.3903225806	184.8588823067
116	131.461049703	66.8774193548	110.7451612903	190.7738894872
117	129.2308820212	69.8612903226	112.335483871	195.5523413527
118	127.2217835928	72.8516129032	113.9967741935	198.3052542862
119	125.7713361907	75.7064516129	115.4612903226	199.4900775737
120	124.7051282051	79.0193548387	116.7612903226	199.8790032094
121	125.0435747049	81.2935483871	118.0258064516	199.9773906986
122	126.1169260847	84.4580645161	119.7387096774	199.9971895158
123	127.9297691556	87.5193548387	120.8612903226	200
124	129.5145123694	90.9741935484	122.5903225806	200
125	130.7555831266	94.0741935484	124.0451612903	200
126	131.6203473945	97.3483870968	125.7064516129	200
127	132.011391834	100.7419354839	127.4677419355	200
128	132.9798481089	103.5	129.1096774194	199.9997323348
129	134.8339348823	106.9225806452	130.8064516129	199.9982546039
130	137.1345965862	109.7709677419	132.4419354839	199.9911361473
131	139.9020227085	113.0967741935	133.8032258065	199.9638052056
132	143.1796751636	115.6903225806	135.4967741935	199.8845982348
133	146.1523046846	117.7129032258	136.9	199.7032888796
134	148.3777351681	119.7161290323	138.0580645161	199.3670568668
135	149.4543950673	121.8903225806	139.0677419355	198.836925679
136	149.5754192045	123.9806451613	139.9419354839	198.1011824863
137	148.9220618092	125.9419354839	141.0322580645	197.2390696385
138	148.6029024739	128.2322580645	142.0741935484	196.5192933299
139	149.3312279119	129.7193548387	143.6032258065	196.3228376006
140	150.8126550869	131.1516129032	144.6483870968	196.7620185504
141	152.3769832318	132.7774193548	146.1612903226	197.364768586
142	153.3903301	134.3258064516	147.4677419355	197.2164678311
143	153.9223625837	135.8	148.7290322581	195.524207249
144	154.6513271675	136.8612903226	150.5741935484	192.3495147952
145	157.1710278968	138.9129032258	151.364516129	189.0481115752
146	159.9910895556	140.7096774194	152.6258064516	187.625153899
147	162.8688247237	141.0322580645	153.3806451613	189.0846453722
148	165.6915557561	142.0290322581	153.9193548387	192.4987756345
149	167.4402962629	142.3483870968	154.8806451613	195.9841478513
150	168.3888638244	143.4	155.5193548387	198.3214507668
151	168.869163095	143.8	156.6903225806	199.4322375346
152	169.640424092	145.4806451613	157.4612903226	199.7662029353
153	169.4791337695	146.3161290323	157.9774193548	199.6759908231
154	169.8022783668	146.7387096774	158.6903225806	199.2834918874
155	169.6033160388	147.1193548387	159.1774193548	198.6691376126
156	168.8454395067	148.035483871	159.9129032258	198.0636066523
157	168.1639596962	148.1612903226	160.3	197.8057788735
158	168.4666892248	148.5741935484	160.5612903226	198.0636066523
159	168.1333558914	149.435483871	160.8129032258	198.6577618434
160	167.9434167983	149.564516129	161.3290322581	199.2134613639
161	167.956049327	149.5612903226	161.8903225806	199.326330723
162	167.3154748477	149.5387096774	161.5290322581	198.4136609103
163	166.5488006617	150.5709677419	161.4774193548	195.3863115507
164	165.8515301902	151.135483871	161.4967741935	188.986010938
165	165.7541544477	152.1903225806	161.2677419355	179.4300523349
166	166.3872095646	153.6129032258	161.1774193548	170.0651940092
167	167.906308745	154.2387096774	161.2548387097	166.0449905995
168	170.0433867208	155.3	161.4322580645	169.8986349023
169	172.1348973607	156.4290322581	162	178.8922075805
170	174.5757575758	157.8580645161	161.5612903226	187.6956120451
171	176.5062786676	158.1225806452	161.6903225806	192.9909373503
172	178.5974133394	158.5483870968	162.4032258065	194.9893530806
173	181.3776975712	159.8870967742	162.1774193548	195.6337933034
174	183.5192871644	160.8322580645	162.464516129	196.4051054888
175	184.7419354839	161.9580645161	162.635483871	197.5688744355
176	184.8064516129	162.8838709677	162.3419354839	198.7048012679
177	184.7419354839	163.6096774194	162.4193548387	199.4600808407
178	184.1612903226	165.1258064516	163.0258064516	199.8227064241
179	183.6451612903	166.1322580645	163.1258064516	199.9425902659
180	183.7741935484	167.5580645161	163.5516129032	199.9247941244
181	183.4838709677	168.4677419355	163.7129032258	199.7357325433
182	183.4838709677	169.235483871	163.935483871	199.190121261
183	183	170.0967741935	164.3064516129	198.0572019019
184	183.3225806452	170.8064516129	164.4548387097	196.370375307
185	183.4516129032	172.0935483871	165.0225806452	194.7189272335
186	183.3225806452	173.1709677419	165.5064516129	194.0157605641
187	183.2258064516	173.4322580645	165.8419354839	194.7189272335
188	183.5483870968	174.4870967742	166.5096774194	196.370375307
189	182.9032258065	175.4516129032	167.0935483871	198.0572019019
190	182.7741935484	175.8935483871	167.7677419355	199.190121261
191	182.7741935484	176.2612903226	167.7612903226	199.7370708691
192	182.1935483871	177.2870967742	167.9193548387	199.9335211048
193	182.3870967742	177.635483871	168.5774193548	199.9869095294
