episodes,DQV,DQV-Max,DQN,DDQN,Upside-Down
908,16.2295398068,17.3991202453,-0.386489558,0.7065601584,-20
909,16.5021219395,17.2809680598,0.0328762919,0.90382905,-21
910,16.7355173719,17.1775526467,0.4243642221,0.9840864274,-20
911,16.8974200873,17.0993034652,0.7953065432,0.9881278238,-20
912,16.9829781419,17.0682095076,1.1076944116,0.9617558227,-19
913,17.0110293876,17.1074436844,1.2934498391,0.9344700993,-20
914,17.0103047041,17.2253503918,1.291901053,0.9149123571,-19
915,17.0072565929,17.4078759322,1.0844323011,0.9044592029,-21
916,17.0191711092,17.6228831307,0.7085060549,0.9164422191,-21
917,17.0543807887,17.8345648862,0.2450360908,0.9808790251,-21
918,17.1129819746,18.0171408671,-0.2126248588,1.1292024132,-21
919,17.1864819991,18.15884509,-0.5902629233,1.3656218951,-21
920,17.2574746159,18.2571580601,-0.8503872101,1.6516610464,-20
921,17.3058340117,18.3106493063,-0.9940072649,1.9150225588,-21
922,17.3195077966,18.3126934298,-1.0458031474,2.0825403142,-19
923,17.30462164,18.2524849631,-1.0337654442,2.1129964148,-20
924,17.2856744256,18.1215844319,-0.9728617017,2.0103894093,-21
925,17.2926843161,17.9225788335,-0.8591623476,1.8096041234,-20
926,17.3417233372,17.6759020675,-0.6782673031,1.5494097788,-20
927,17.4217892585,17.4173758234,-0.4231280805,1.2536396799,-20
928,17.4966489395,17.1879033685,-0.1057381306,0.9323860815,-20
929,17.5228252941,17.017470722,0.2453132625,0.6020781018,-20
930,17.4728385429,16.9143483138,0.598312582,0.3065924944,-20
931,17.351735891,16.8635064319,0.9313568345,0.1218034414,-21
932,17.1974422702,16.8368350925,1.2343881305,0.1329064839,-21
933,17.0661335429,16.8083261035,1.5006088804,0.3931434262,-20
934,17.0068354032,16.7655901108,1.7193407643,0.8906531439,-21
935,17.0387795332,16.7114149549,1.878234496,1.5434676846,-20
936,17.1410678704,16.6570351338,1.9742471717,2.2289202289,-21
937,17.2603670787,16.6141013499,2.0227623294,2.8358864042,-21
938,17.3354777783,16.5929911022,2.0564256141,3.3069457267,-21
939,17.3243090893,16.6072328868,2.1127546744,3.653053647,-17
940,17.2196913286,16.6766703832,2.2204963027,3.9347580677,-20
941,17.046064504,16.8219739672,2.3908471353,4.2214368593,-21
942,16.8421417554,17.0509028808,2.6157266571,4.5516349242,-21
943,16.6441116315,17.3439930629,2.8702379459,4.9107588452,-21
944,16.4798407747,17.6537147082,3.1193376032,5.234086592,-21
945,16.3728786571,17.9170706224,3.3263413848,5.4339828361,-19
946,16.3446945717,18.077689509,3.4651047289,5.4411093316,-21
947,16.4074136622,18.1051111594,3.5318208786,5.2387690038,-21
948,16.5497463121,18.005244433,3.5512292325,4.8757186009,-21
949,16.7298095287,17.8183500457,3.5716770474,4.4443078965,-19
950,16.8866002081,17.6058731323,3.6441561045,4.040455842,-21
951,16.967277409,17.4293526193,3.7962713629,3.7287132768,-21
952,16.9552237061,17.3284694959,4.014274715,3.5340138958,-21
953,16.8785842966,17.3079897208,4.2455517615,3.4583676153,-21
954,16.7936711345,17.3402493819,4.4237790486,3.5008039763,-21
955,16.7534484493,17.3818025212,4.5009990092,3.6602568684,-21
956,16.7775695204,17.3972442069,4.4674122595,3.9172362075,-20
957,16.8430776201,17.3770715179,4.3478927753,4.2187904797,-21
958,16.8952335949,17.3410957724,4.1821978991,4.4866580383,-19
959,16.8726377671,17.3268638214,4.0018955427,4.6506874431,-20
960,16.7322443144,17.3684483542,3.8201586182,4.6885512441,-21
961,16.4654996959,17.4770621107,3.6356492991,4.6425495433,-21
962,16.1018144358,17.632242197,3.4443167984,4.5998912108,-21
963,15.6990311863,17.7884106194,3.2510837368,4.6496347684,-20
964,15.3276454509,17.8928913811,3.0743281552,4.8377344435,-20
965,15.0528033095,17.9064040931,2.9420711144,5.1441501274,-20
966,14.9187315888,17.8151517698,2.8823842492,5.4915667237,-21
967,14.939463485,17.6313337071,2.9129514664,5.779472724,-20
968,15.09505914,17.3843910661,3.0329299335,5.925074571,-21
969,15.3357295761,17.1091256035,3.2190568179,5.8911793211,-19
970,15.5920252867,16.8385986747,3.4295988728,5.6921121892,-21
971,15.7927086588,16.6004048148,3.6149393149,5.3825330758,-21
972,15.8863440197,16.4174016254,3.7294929416,5.0399146425,-21
973,15.859788479,16.3070973782,3.7427895759,4.7483896779,-20
974,15.7454772189,16.2792868487,3.6423643308,4.5821344373,-20
975,15.6092369642,16.3315093706,3.4278392691,4.587526833,-20
976,15.5236793298,16.4469656841,3.1005204487,4.7666569426,-21
977,15.5381642322,16.5978453678,2.6608666128,5.073856978,-21
978,15.6640833175,16.7534759928,2.1194825356,5.4313373563,-21
979,15.8779770553,16.8900021687,1.5175671331,5.7562127592,-18
980,16.1366413476,16.9955611065,0.9405354886,5.9843668349,-21
981,16.3924960416,17.0697578305,0.5056737495,6.0824991552,-21
982,16.599902686,17.120035257,0.3238453785,6.0499781492,-20
983,16.7200740349,17.159786946,0.454701838,5.9177214741,-21
984,16.7289377352,17.2067171041,0.8861622804,5.7457035643,-20
985,16.6279916978,17.2783761015,1.5482193868,5.6126410296,-21
986,16.4504724622,17.3813167428,2.3476239812,5.5952121511,-20
987,16.2529642714,17.5014086932,3.1978907181,5.7452683711,-21
988,16.0919487397,17.6041577104,4.0297542406,6.074145079,-20
989,15.9961148198,17.6499327821,4.7897196826,6.5550951639,-21
990,15.9503362984,17.6150064184,5.4414207911,7.137395421,-21
991,15.9034057678,17.5058260871,5.9737552235,7.763208687,-20
992,15.7950232407,17.3566431474,6.4079334902,8.3780658097,-20
993,15.589830847,17.2147322484,6.7941661884,8.9379008272,-20
994,15.2988714831,17.1207076246,7.1936556948,9.4105410652,-21
995,14.9798304669,17.0949948079,7.6573814451,9.7763725688,-21
996,14.7143698529,17.1345273242,8.2101091045,10.029784106,-21
997,14.5765564687,17.2165104876,8.8461570438,10.1805019942,-21
998,14.6047123678,17.3086073558,9.5315905366,10.2534698215,-20
999,14.7888213495,17.3811926135,10.2130532352,10.2841216753,-21
1000,15.0773064278,17.419118798,10.8272044378,10.3054681429,-20
1001,15.3984800899,17.4275494252,11.3137408294,10.3343940491,-21
1002,15.6867071801,17.4293890622,11.6263753093,10.3645032801,-21
1003,15.9012564484,17.4541509261,11.7416239161,10.3697186234,-20
1004,16.0313531768,17.5233685473,11.6593190133,10.3191805637,-21
1005,16.0882208489,17.6391401076,11.3943970241,10.1962207497,-19
1006,16.0932645902,17.7811708822,10.96733888,10.0091531537,-21
1007,16.0692238603,17.9148622086,10.4064229342,9.7916748224,-19
1008,16.0376121395,18.005342866,9.7640081225,9.5922433527,-18
1009,16.0187549879,18.0298553398,9.1323926054,9.4555325744,-21
1010,16.0317656998,17.9827476608,8.6401092496,9.4041346307,-21
1011,16.0903145611,17.8729197901,8.416562391,9.428908429,-21
1012,16.1993463212,17.7171411548,8.5392724196,9.4928934745,-20
1013,16.3533473003,17.5338387113,8.9978358348,9.5518135098,-18
1014,16.5375083199,17.3389021874,9.6967015338,9.5787145667,-21
1015,16.730116121,17.1437900033,10.4963021047,9.5795985322,-20
1016,16.9051479868,16.9566304142,11.2655250687,9.5894466428,-19
1017,17.0371199551,16.7874225569,11.9162306981,9.6465336105,-21
1018,17.1100630061,16.6535795268,12.4070219324,9.7630034853,-21
1019,17.1264016837,16.5815862854,12.7241529742,9.910450047,-20
1020,17.1098706132,16.5974816123,12.860212278,10.0313471934,-20
1021,17.0986951999,16.7111431087,12.8071941169,10.0701461701,-21
1022,17.1301501468,16.9034835209,12.5672616283,10.0052623892,-19
1023,17.2266298935,17.1288214932,12.1694260613,9.8632082704,-19
1024,17.3886879364,17.3330794249,11.678080301,9.7098060406,-21
1025,17.5967623041,17.4771219868,11.1862500637,9.622797157,-19
1026,17.8183372079,17.5498512969,10.7933542357,9.6608954322,-21
1027,18.0154060406,17.5660572405,10.5804128643,9.8390813517,-21
1028,18.1502770433,17.5533968504,10.5894807606,10.1211423128,-20
1029,18.1922184257,17.5378308643,10.815335274,10.4335443725,-21
1030,18.1256484679,17.536206006,11.2100681102,10.6935169434,-20
1031,17.9570524311,17.5550098499,11.6976830826,10.8433107447,-21
1032,17.7165111147,17.5918522242,12.1942337525,10.8667747966,-20
1033,17.45021542,17.6379760574,12.628243978,10.7900947046,-21
1034,17.2061612867,17.6824758017,12.9544784077,10.6643775548,-20
1035,17.0195145404,17.7176452274,13.156256795,10.5438449525,-20
1036,16.9048102786,17.7437979042,13.2406807766,10.4687445583,-21
1037,16.8567372914,17.7700941924,13.2316810656,10.4572904274,-20
1038,16.8576026316,17.8104011418,13.1635413239,10.5053360777,-21
1039,16.8865019951,17.8771211088,13.0777009389,10.5926906643,-19
1040,16.9258771653,17.9754704294,13.0164642069,10.6938952417,-19
1041,16.9642347954,18.1010690522,13.0152499469,10.7886235502,-18
1042,16.9953991715,18.2410650389,13.0944395868,10.8685243208,-21
1043,17.0153221214,18.3781770621,13.2555363659,10.934954944,-21
1044,17.0197774086,18.4933828642,13.4861076769,10.9938954349,-20
1045,17.0033248056,18.5678789733,13.7673497996,11.0529979655,-21
1046,16.9606304173,18.5838931527,14.0821169676,11.1227837781,-20
1047,16.8886244506,18.5276392774,14.4138960382,11.2191153699,-19
1048,16.7865926854,18.3950155295,14.7411474896,11.3574345733,-20
1049,16.6548213796,18.1974881952,15.031357891,11.5411989525,-21
1050,16.4934841603,17.9633507067,15.2435454747,11.7495710051,-21
1051,16.3054432485,17.7322391232,15.339774777,11.9389310557,-20
1052,16.1032601244,17.5438889195,15.3033261054,12.0592120394,-21
1053,15.9143103506,17.4260470149,15.1501366359,12.0772774138,-20
1054,15.778202646,17.3875103111,14.9299197593,11.9926011926,-19
1055,15.7335586724,17.4173651809,14.7108788093,11.8383197153,-20
1056,15.8001928543,17.4908627779,14.5544104218,11.6666893795,-21
1057,15.9667202639,17.5801008525,14.4886248501,11.5277856708,-20
1058,16.1907316704,17.6626490515,14.4947000206,11.4477204105,-21
1059,16.4124603396,17.7245854647,14.5161432415,11.4189271861,-20
1060,16.5738473858,17.7582046301,14.4906001292,11.4041633103,-21
1061,16.6362710118,17.7593632233,14.3866862871,11.3522954144,-21
1062,16.5916298548,17.7277540055,14.223111324,11.2178579863,-21
1063,16.4659878601,17.6700983109,14.0580562688,10.977818348,-20
1064,16.3118323836,17.6011460535,13.9562592503,10.6397036274,-20
1065,16.1883984448,17.5397460112,13.958524158,10.2423444519,-21
1066,16.1332836089,17.5025125062,14.0676031838,9.8455565685,-21
1067,16.1422042742,17.5000177218,14.2537169399,9.5099648385,-19
1068,16.1724904994,17.5371643077,14.4681058625,9.2717189687,-21
1069,16.1712150267,17.6149451288,14.6544340554,9.1239398887,-20
1070,16.1114589277,17.7303891822,14.7609943632,9.0192532291,-20
1071,16.0096512479,17.8742983397,14.7507924023,8.8954095195,-21
1072,15.9131851199,18.0290157036,14.6132097084,8.7119019071,-21
1073,15.868395247,18.1694779,14.3661729974,8.4744307387,-21
1074,15.893907296,18.2687910604,14.0465975278,8.2344965886,-21
1075,15.9755253967,18.3054001467,13.691346399,8.065393449,-19
1076,16.0809600768,18.2695300284,13.3210016494,8.0298089445,-20
1077,16.1795127132,18.1652755575,12.9380305526,8.161102395,-21
1078,16.2527142719,18.008732128,12.5450381847,8.4610872861,-20
1079,16.2930229914,17.8225063764,12.1691176531,8.9110868605,-21
1080,16.2994507337,17.6304866813,11.8763658753,9.4773767705,-21
1081,16.2760095726,17.4547332072,11.7602296313,10.1117060253,-19
1082,16.2329968901,17.3129612218,11.9054031484,10.7476293778,-21
1083,16.1873341157,17.2170103754,12.3447153563,11.3038081532,-21
1084,16.1574171316,17.169241945,13.0325898079,11.6975957307,-21
1085,16.1559176497,17.1605836135,13.8531116714,11.8665555011,-21
1086,16.1850013894,17.1733481716,14.6575146984,11.790901114,-21
1087,16.238072504,17.1907951733,15.3147447694,11.5086675348,-20
1088,16.3059046845,17.2071130301,15.7486062637,11.1153679788,-21
1089,16.3820749371,17.2308672115,15.9501849208,10.7457134926,-21
1090,16.4644772873,17.2779215733,15.9643379631,10.5366906534,-20
1091,16.5532959749,17.3576008747,15.861319907,10.5844780438,-18
1092,16.6465998084,17.4618023585,15.7079074157,10.911024062,-21
1093,16.7362383371,17.5656641167,15.5498737346,11.4585572269,-18
1094,16.8058914544,17.6391041964,15.4090733656,12.1178449426,-21
1095,16.8311072111,17.6611248401,15.2903047855,12.7734418876,-21
1096,16.7839285636,17.6283528558,15.1912677987,13.3408916492,-19
1097,16.641641486,17.5534022229,15.1058732544,13.7779080547,-19
1098,16.3984220476,17.456265458,15.0226453464,14.0758541269,-19
1099,16.0758782659,17.355078403,14.9224013857,14.2433210447,-21
1100,15.726192212,17.2621709511,14.7830151645,14.30226734,-20
1101,15.422675626,17.1827479843,14.5933595471,14.2891113359,-21
1102,15.238171097,17.1156626397,14.3687331804,14.2536066525,-21
1103,15.2199457187,17.0525025158,14.1556747244,14.2462307286,-21
1104,15.3722679636,16.9790935658,14.0211498029,14.296985647,-21
1105,15.654584177,16.8807689895,14.028504162,14.4010368167,-21
1106,15.9941799959,16.7520787055,14.210176192,14.5121124098,-20
1107,16.3069055557,16.6039025706,14.5506054375,14.5574111182,-20
1108,16.5192068046,16.4615044856,14.9883574942,14.4654774268,-21
1109,16.5866396073,16.3537375853,15.436252272,14.2024838818,-20
1110,16.5047695278,16.3003775823,15.8101012425,13.797007428,-20
1111,16.3079749495,16.3075516065,16.0537471629,13.3381825193,-21
1112,16.0555639105,16.3709947703,16.1484936071,12.9419273536,-21
1113,15.8114261151,16.4817965452,16.1096850074,12.7028437201,-20
1114,15.6267306865,16.626602654,15.9728079898,12.6593775594,-20
1115,15.5312409739,16.7838008207,15.7779618671,12.791335241,-21
1116,15.5339877437,16.9240488707,15.5584012978,13.0447048965,-21
1117,15.6271622739,17.0204413926,15.3338016208,13.3604833419,-21
1118,15.7895216714,17.0629379737,15.112605336,13.6906626619,-21
1119,15.9886445272,17.0664713127,14.8998775207,13.9989096108,-21
1120,16.1854494383,17.0643479624,14.7054584078,14.2578087687,-20
1121,16.3439967275,17.0894198983,14.5464107048,14.4506578797,-21
1122,16.4437280095,17.155327277,14.4399194924,14.5744208677,-21
1123,16.4893984433,17.2493573782,14.3926266156,14.6404490854,-21
1124,16.5104407769,17.3412057406,14.3941084703,14.6703942493,-20
1125,16.5480272756,17.4012244524,14.4208984013,14.6904576533,-21
1126,16.6346356628,17.4153310398,14.4477442957,14.7275480168,-21
1127,16.7783084291,17.3884126054,14.4574956895,14.8038522098,-20
1128,16.959325611,17.3368228076,14.44460036,14.9295933345,-21
1129,17.1416604054,17.277018838,14.4117548566,15.0949395703,-21
1130,17.2900022919,17.2200035098,14.3677178484,15.2688035128,-20
1131,17.3839478615,17.1725134509,14.3274877109,15.4095066429,-20
1132,17.4217092914,17.1427178608,14.312416392,15.4817973244,-21
1133,17.4135602333,17.1427604997,14.3444595428,15.4725890178,-21
1134,17.3706779072,17.1850817052,14.4340257668,15.3946597975,-18
1135,17.2957633745,17.274795197,14.5691525741,15.2788943352,-19
1136,17.1823048389,17.4031294446,14.7137112545,15.1589747934,-21
1137,17.0230524015,17.547672438,14.8200160205,15.0609718382,-20
1138,16.8206828945,17.6791317725,14.8472772458,15.0005475349,-21
1139,16.5946097824,17.7720857833,14.7780521583,14.9840460675,-21
1140,16.3770453858,17.8144011436,14.6237536986,15.0105672794,-21
1141,16.1998080345,17.8111126361,14.41947373,15.0717994135,-21
1142,16.0785377992,17.782679945,14.2121742212,15.1526719855,-19
1143,16.0052089896,17.7580826467,14.0470190365,15.2354945528,-20
1144,15.9539275636,17.7652827175,13.9558935812,15.3079069563,-20
1145,15.8985578785,17.8199332448,13.950391599,15.3692082156,-21
1146,15.8292232365,17.9177523747,14.0199346798,15.4300490418,-20
1147,15.7588099455,18.033574249,14.1357489709,15.5029472908,-20
1148,15.7143051632,18.1294647876,14.2631065925,15.5911261396,-21
1149,15.723085528,18.1696199153,14.3780611533,15.68381377,-21
1150,15.802205491,18.1352904756,14.478181619,15.7605223027,-21
1151,15.9558640346,18.0329949456,14.5808362016,15.7998404906,-21
1152,16.1766213745,17.8917804922,14.7075411906,15.7863082772,-19
1153,16.4451985643,17.7509907505,14.8644471844,15.7135931872,-21
1154,16.7286311457,17.6445765375,15.0331443853,15.5867185228,-20
1155,16.9827673364,17.5883704207,15.1790281955,15.4249769798,-19
1156,17.1617746806,17.5763988059,15.2725024793,15.2636819613,-21
1157,17.233081382,17.5870731898,15.3074977244,15.147331347,-21
1158,17.1884630195,17.5958059927,15.3074279293,15.1145236714,-21
1159,17.0446037022,17.5884330387,15.314739833,15.1812175357,-21
1160,16.8321976155,17.5673163256,15.369839998,15.3330248567,-20
1161,16.580381298,17.5487693368,15.4928581374,15.533877773,-21
1162,16.3044348611,17.5528101956,15.6752952897,15.7444292397,-21
1163,16.0057890035,17.592979943,15.8883539297,15.9386975618,-21
1164,15.6815356578,17.6691292551,16.1017548122,16.1107773468,-18
1165,15.339124157,17.7666991143,16.3011204505,16.2665932198,-21
1166,15.0060686688,17.8610824297,16.4922488483,16.4109413503,-19
1167,14.7302177127,17.9266701329,16.6906136349,16.5369265664,-20
1168,14.5655014342,17.9463929927,16.9035743112,16.6251704,-21
1169,14.5509414082,17.9181273372,17.1177763942,16.6510910899,-21
1170,14.6915459448,17.8549266496,17.2988685554,16.5971900725,-20
1171,14.9538252447,17.7767357156,17.4035236847,16.464689718,-19
1172,15.2776192789,17.7003473449,17.397379206,16.2805252894,-21
1173,15.5975301238,17.6332105511,17.2699826082,16.0937852585,-21
1174,15.8628109772,17.5748138298,17.0421387175,15.9617139486,-21
1175,16.0497810899,17.5244246339,16.761815823,15.9296844933,-20
1176,16.1643667382,17.4895810062,16.4892082694,16.0128198977,-20
1177,16.2353058956,17.4873184589,16.2762783628,16.1878301795,-20
1178,16.2982946681,17.5374801543,16.1499129222,16.3961953167,-20
1179,16.377236163,17.650520658,16.1044483263,16.559678299,-21
1180,16.4705756679,17.8181944696,16.108941314,16.6027206051,-19
1181,16.5533989034,18.0140510655,16.1258716855,16.4790999966,-21
1182,16.59276619,18.2030133223,16.132289176,16.1948226009,-20
1183,16.5674263931,18.356207535,16.1299027067,15.8144783868,-21
