episodes	DQV	Dueling-DQV-1st	Dueling-DQV-2nd	Dueling-DQV-3rd
62	80.85059049513875	79.5140425651395	62.45606734306738	40.849302522003434
63	83.25787543546848	84.63712514378277	62.84437665312172	46.10796335089738
64	85.77445859773961	90.70810891321337	63.894784392489896	51.74271305522001
65	88.59362248857774	97.43160839862077	65.89938820356907	57.219490464314646
66	91.79618281480676	104.1312963055783	68.82218489258904	61.91779231616857
67	95.27527493734954	109.91786897515432	72.36368017063359	65.30146235913784
68	98.75285265535473	113.9608874578175	76.12274435993388	67.14745222638729
69	101.86696741111714	115.757059505704	79.72176011380861	67.68893677745572
70	104.29670776633262	115.31906462729219	82.80943025539402	67.55245181139217
71	105.86269720084378	113.20653331454054	85.0464873374556	67.4867382515925
72	106.5770909352812	110.41130224774163	86.12724162861933	68.06707640993922
73	106.63224350505364	108.08043231666923	85.89309790176456	69.52591181494995
74	106.3520912744087	107.14653010082637	84.44666595145215	71.7783584978707
75	106.10896386064917	108.00979610285884	82.16785549705112	74.57431535084399
76	106.2409463612212	110.37645474918746	79.59895021612344	77.65265840249658
77	106.97247351000112	113.38452332475947	77.2712928856572	80.84338639864048
78	108.38864808630358	115.95684736906531	75.55808787716914	84.10809550021057
79	110.45651099270043	117.23641685933063	74.64292977656478	87.54967255563129
80	113.07796795433792	116.8865746475901	74.58874128373188	91.37986598958607
81	116.12338152137798	115.1687998422779	75.41803373924309	95.84049833457452
82	119.4279002338977	112.81013381497607	77.1605962556986	101.07545831633382
83	122.7764849770777	110.77585010828787	79.83040120598037	107.01010180459491
84	125.92864103403252	110.00638014185526	83.36689669848259	113.31582447346861
85	128.6875603475403	111.168429174719	87.58915970672341	119.47655861233069
86	130.98967938038732	114.44377758306175	92.1922439626113	124.92688524554774
87	132.92501431700813	119.42037311029215	96.79252193800468	129.2073529347446
88	134.67539469813818	125.17361116050195	101.04480045556022	132.06779773852432
89	136.40698867812404	130.53290635155452	104.77001646656694	133.4907222463208
90	138.19834963549624	134.46321937283886	108.04529401116926	133.63962158410453
91	140.04382558439562	136.3891047669405	111.14400622672933	132.76758796187997
92	141.89822892060118	136.36974044351726	114.36741688491847	131.1552199195104
93	143.70963741841337	135.04896658721253	117.83959343021846	129.1124443752169
94	145.4223500228805	133.42007404628225	121.41023553800098	127.02946013804012
95	146.96879909855403	132.48587821669577	124.69990646204239	125.39525007111126
96	148.2964565242353	132.96058141391114	127.24254338558781	124.70962245650028
97	149.42794408289708	135.09565103788134	128.66117800125573	125.30364472285865
98	150.4855997013828	138.69999292967987	128.82601239001946	127.1758708150281
99	151.65539084253044	143.25788109812163	127.96637832216734	130.01334612257284
100	153.11021322477418	148.08431797568088	126.67329165276416	133.36792160455445
101	154.92899745863917	152.4569621817178	125.76525220306416	136.93697987803876
102	157.13585305430598	155.73241657778158	126.02706903756362	140.76344318613226
103	159.79239077491312	157.45878086407203	127.92743768306585	145.2338725655703
104	163.09375426403656	157.48359547223802	131.44289746962153	150.86108845748694
105	167.35147127697255	156.0077148617764	136.06115767853038	157.93122439321937
106	172.80893054254835	153.55081490449552	140.9590131174174	166.15505222732656
107	179.36912242951544	150.83606077867663	145.2857847462671	174.52801417234105
108	186.4040638148316	148.6222166418146	148.45578387063875	181.58678949573363
109	192.83394565784636	147.5267019015319	150.3318646848078	185.95964143592406
110	197.47974124311924	147.84583689891787	151.21567515046692	187.06036512535593
111	199.5646582226689	149.48982731331762	151.63771333498016	185.44410224998114
112	199.04980713710722	152.0278869849291	152.0641384094973	182.7153465466394
113	196.67054318947373	154.88340038926162	152.69042607144678	180.93245795396123
114	193.6433447078931	157.63120339571415	153.42972195123394	181.902009090343
115	191.26666868717615	160.22598500960657	154.0630586369238	186.58583469523697
116	190.57640651398225	163.01949498833238	154.42712533227433	194.87332817842977
117	192.2014229320689	166.48861432286327	154.49927125073535	205.713126842566
118	196.30852309726993	170.8258933024704	154.378796822156	217.5096806646185
119	202.60108390631115	175.63473581147434	154.22766449570702	228.56293476667875
120	210.31330271016242	179.9908579005151	154.25019254235636	237.36245101133665
121	218.34830421468166	182.84764332281762	154.7573491541876	242.72035064192974
122	225.6330267757757	183.55163236170745	156.2490431868253	243.8835212060346
123	231.59791026527316	182.09262049125283	159.35916210568465	240.74199654035823
124	236.57936646876686	178.99842175641092	164.59138764702703	234.11439853303543
125	241.7968296399937	175.00054465935423	171.92880879062415	225.85151526317816
126	248.82967194484456	170.77520581779436	180.52662691010266	218.50412035575044
