training_steps	true_return_DQN	true_return_DDQN	true_return_DQV	true_return_DQV-Max	estimate_DQN	estimate_DDQN	estimate_DQV	estimate_DQV-Max
410	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.17837410971093923	1.007638696987311	0.17290025085285307	0.20591382870823144
420	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.17697335536424072	1.014195484807282	0.2151868075799197	0.18351781138237566
430	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.15640681110294535	1.99818260235715	0.1560138043459505	0.2785378789490089
440	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.17239643553653733	1.976112630091452	0.20491153268180787	0.2925185113821179
450	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.19982619034340604	1.004061618922314	0.23644035631753504	0.3277385547295213
460	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.217286001010146	1.9893710046676265	0.23128214120566845	0.2628296010248363
470	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.1976914354714565	1.976404816272886	0.19308313667811453	0.4269304444456473
480	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.21009713624622672	2.947508021886724	0.2123319018494338	0.4083478967599571
490	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.23135041114473714	2.965256795487086	0.20048940201550722	0.3993334734581411
500	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.2122539645384997	2.983310045989537	0.19915482731759548	0.370307478511706
510	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.18456785627212374	1.923551598794319	0.18609537633620202	0.4887953646050766
520	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.24407833926267922	0.964694113082096	0.2659662610366941	0.4366049467967823
530	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.24914415580313654	0.960767085506473	0.16840048239827157	0.3710788348130882
540	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.2530407318838872	5.909864785338401	0.20333371123187244	0.42378157437508923
550	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.23264534136466683	5.9163046213413795	0.21274624525941907	0.5049197814885527
560	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.28714524905132127	5.9310167299350995	0.23317144345790147	0.49151607861290686
570	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.2916749562740326	5.895142490830859	0.19834438344165684	0.4728464264977723
580	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.28002545766113324	5.932812340807844	0.17993714345656336	0.49638994093644434
590	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.27272262026611716	5.844163790682435	0.22875745282657445	0.5292541394423693
600	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.34143867406509815	5.8759954427288115	0.2627534722458571	0.6193120381955057
610	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.31904948440473524	5.8859297167030435	0.1921306404285133	0.5750618093874306
620	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.2955804474721663	5.89283573794637	0.19695022242628038	0.5147060288960813
630	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.3170182204963639	5.836599368353478	0.3295093298625201	0.6218500588241616
640	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.33856655375482514	5.847669107226954	0.33712519027777016	0.6791969546989305
650	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.3352026168335229	5.893093439823323	0.29185025826022026	0.5972831320381723
660	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.37404089916199446	5.893800261737331	0.3127979839023203	0.5343349856591317
