episodes	DQV	Tiny-dqv
130	30409.987592330526	23262.52171717114
131	30886.8484570855	24417.288854942886
132	31714.120685498503	25869.082070990407
133	33014.921319988236	27498.915903226174
134	34665.53914759085	29171.91032758062
135	36336.39813272744	30723.280767946548
136	37656.29948526963	31971.086204769563
137	38401.36607921784	32769.13791236118
138	38594.04609538188	33060.965377993685
139	38463.46125897368	32908.19896025943
140	38303.00102799904	32475.925370172507
141	38316.62012288545	31981.830185817915
142	38541.964226779615	31634.592380828406
143	38876.53184676952	31577.128791115014
144	39165.44471717956	31849.471366324273
145	39307.38039057932	32379.78198789426
146	39305.5430546987	33010.2219475838
147	39264.02151159567	33531.93334308067
148	39338.42823686357	33739.89363060072
149	39679.62591059563	33485.04880943239
150	40397.02454722156	32739.587788507455
151	41536.09665863124	31631.312976646204
152	43056.17086234374	30427.82544109008
153	44821.798062178146	29453.865811602373
154	46622.40642353706	28970.140628395777
155	48233.5575303673	29074.664575429593
156	49499.140017779035	29673.282415964473
157	50355.92648246178	30524.31704531389
158	50789.1524672608	31338.39317437385
159	50749.27328081673	31879.222263728952
160	50118.2379085305	32037.941678090923
161	48769.765369972236	31856.289989325054
162	46688.441163772164	31490.055609466588
163	44051.77616156182	31140.306929787108
164	41210.167058374645	30981.808908768362
165	38573.58270189028	31121.45347113815
166	36489.973223105146	31589.614174773862
167	35175.499382327056	32348.05206280116
168	34719.71178952131	33306.09377124034
169	35127.36959335122	34338.30482267655
170	36333.78929212134	35301.903378513176
171	38201.62683046493	36060.47624198711
172	40495.827394788124	36509.213435745376
173	42892.04555067168	36591.97967613321
174	45036.8373671136	36324.0714736824
175	46636.272106259436	35799.74541565572
176	47546.45208527941	35189.89873467607
177	47807.88183609635	34705.984366001
178	47602.588008536644	34532.32817240723
179	47162.608667750574	34757.03869104684
180	46681.66131047241	35325.83534829605
181	46270.07425844885	36048.86231156218
182	45963.19075230595	36673.560819558676
183	45742.06988728091	36981.457098895036
184	45543.40477476291	36871.34371921045
185	45262.00698253139	36382.69323323962
186	44761.28157218015	35660.69905900373
187	43912.780098441624	34892.09134845575
188	42642.57743001146	34246.01768223076
189	40978.72591908106	33841.74126638226
190	39084.90427877768	33737.87488809333
191	37255.14200061384	33934.78369167598
