episodes	DQV	Dueling-DQV-1st	Dueling-DQV-2nd	Dueling-DQV-3rd
60	-20.458938873105325	-20.9985226752216	-20.981488392203318	-20.46367238491591
61	-20.487720453837426	-20.996201230059693	-20.96536268680073	-20.376503013461843
62	-20.536315762816553	-20.991214510609538	-20.94152965181404	-20.312268437272884
63	-20.5947887656311	-20.981797793700476	-20.91059992205352	-20.27258263990346
64	-20.651351277266272	-20.966121197864645	-20.875516805781896	-20.25148729735318
65	-20.69453623502647	-20.943176894604232	-20.84104202811882	-20.24151322082176
66	-20.71464839130857	-20.91350598643391	-20.812343883203564	-20.239142799171745
67	-20.705372197633558	-20.879337238440467	-20.7935428166409	-20.24585422942842
68	-20.66539711873024	-20.84315076075501	-20.787028611945512	-20.264618870628116
69	-20.59913524309092	-20.805639770011396	-20.7935428166409	-20.295889303258676
70	-20.51575826313777	-20.764574179742	-20.812343883203564	-20.336122557148585
71	-20.426689117458206	-20.716282661359756	-20.84104202811882	-20.37995657968201
72	-20.342324391099524	-20.659526827738667	-20.875516805781896	-20.42365772808587
73	-20.269942616524872	-20.599225555947136	-20.91059992205352	-20.466673837116783
74	-20.213490049650773	-20.54690021729514	-20.94152965181404	-20.51045944402641
75	-20.175100172553133	-20.516762794438947	-20.96536268680073	-20.55574577052074
76	-20.156919927222226	-20.519505211886724	-20.981488392203318	-20.600797232352996
77	-20.16147065644552	-20.557460369213043	-20.99109902718642	-20.64070745117423
78	-20.189420439963698	-20.62372166449913	-20.996156618716924	-20.6681880599489
79	-20.236715106174753	-20.70519714236856	-20.9985226752216	-20.675031584754024
80	-20.293548263336177	-20.787480533006708	-20.99948589239418	-20.654612680660044
81	-20.34765249802591	-20.859193115990358	-20.999839905234108	-20.60499311676293
82	-20.390110664093086	-20.914117071203776	-20.999910777314454	-20.53100831802698
83	-20.420027524636637	-20.950831606428512	-20.999839905234108	-20.44348750107675
84	-20.44446178849058	-20.970891591423133	-20.99948589239418	-20.355209499549094
85	-20.473530110626967	-20.976407852048307	-20.9985226752216	-20.276187178387726
86	-20.513672865003763	-20.96818531915806	-20.996201230059693	-20.211680191128004
87	-20.56370606796114	-20.945478449614143	-20.99125912195231	-20.164432357759296
88	-20.615110104086778	-20.907136742072865	-20.98200249980914	-20.138288391782247
89	-20.656357506667792	-20.853776816657753	-20.966840011579134	-20.139813656854475
90	-20.677670702295973	-20.789536899821627	-20.945328421754347	-20.175174318280273
91	-20.674080450586438	-20.72197207476081	-20.91929618875844	-20.24440480998688
92	-20.646220685134388	-20.659647426738807	-20.893354211206862	-20.337216259133015
93	-20.599873300810778	-20.608842070529796	-20.873687908933867	-20.433578105395867
94	-20.544875065545195	-20.571717030931616	-20.865493525328045	-20.509366728049734
95	-20.493332006439317	-20.547208760814428	-20.870243151833492	-20.544423353590034
96	-20.456568332247954	-20.533647384180938	-20.884259320319245	-20.530223060168723
97	-20.44136782899387	-20.530299069870225	-20.899865975131952	-20.47400347382601
98	-20.44730694489981	-20.536397334162668	-20.908369663393174	-20.396854758085503
99	-20.4670844828041	-20.548566562084282	-20.903382943943015	-20.32594760013331
100	-20.490248185510865	-20.559787434954696	-20.8831857049536	-20.28339406599135
101	-20.50811989703813	-20.561590154443948	-20.851054720555602	-20.277459720162124
102	-20.516705418705286	-20.548914214476454	-20.81409424880944	-20.300988702460394
103	-20.516196432024984	-20.524108960908528	-20.7805660592259	-20.338366539244817
104	-20.508190532998967	-20.497107978993522	-20.75698401208053	-20.375715239389745
105	-20.493114178779607	-20.481153978246226	-20.745759957615387	-20.40829816542374
106	-20.46998219931853	-20.486041010625076	-20.7444107837391	-20.44068261615083
107	-20.437817587859527	-20.513109795803103	-20.746772137171973	-20.480949696522092
108	-20.396572216437114	-20.554543283106923	-20.74621493970045	-20.533903632669677
109	-20.346083187320865	-20.59651865974061	-20.738979367054718	-20.59695133017721
110	-20.28452634262517	-20.62461141611586	-20.726535331727185	-20.661246155689646
111	-20.208849140813538	-20.628593823574864	-20.7139170387569	-20.71639994094051
112	-20.11825573341749	-20.604783493667796	-20.705538152901134	-20.755149046554116
113	-20.01883444556851	-20.5569373137517	-20.700084701625514	-20.77544435744383
114	-19.924370098245838	-20.495396705791705	-20.688255851559433	-20.77836269905286
115	-19.851365796604952	-20.434163433320705	-20.655782928242516	-20.76486700832905
116	-19.81078067977063	-20.386293385433007	-20.591034148221766	-20.733790955474763
117	-19.802198721292473	-20.359094811198837	-20.493521693376266	-20.68354358402553
118	-19.81457912146801	-20.35131953754895	-20.378545660954195	-20.615960218704302
119	-19.833100187816797	-20.354005077278767	-20.273752228670293	-20.538948200090424
120	-19.846416017229753	-20.354635936537182	-20.208255518173495	-20.466028338770865
121	-19.850153726376693	-20.34301849620973	-20.19962009158452	-20.411847248181317
122	-19.84563525203561	-20.31648453491193	-20.24602068015037	-20.38696686667619
123	-19.83694852776565	-20.282044190021885	-20.328824570306676	-20.39482577216174
124	-19.829353989193812	-20.253870078931023	-20.423738234871195	-20.43167076048479
125	-19.82913665890095	-20.246970874093854	-20.512990397805336	-20.489072404798065
126	-19.842830789732684	-20.27047601920368	-20.591095768210053	-20.556768855265403
127	-19.874548666831416	-20.323692319054995	-20.661585326002083	-20.62492849729389
128	-19.92166399498384	-20.39737780318314	-20.729593454656214	-20.68598270296737
129	-19.973119151682933	-20.477999729042086	-20.79595760872939	-20.736388894186803
130	-20.012579502431798	-20.55253197159989	-20.85640368948318	-20.777135490448266
131	-20.024779369629407	-20.611624932296728	-20.90458659074005	-20.812344604332093
132	-20.002839843679432	-20.65066403339893	-20.935103765388114	-20.8462753283236
133	-19.95087515015323	-20.66973791231093	-20.94466276726474	-20.8806098571102
134	-19.881454911051065	-20.673215056247347	-20.931829891088256	-20.913975482696962
135	-19.808657185450453	-20.668478243042294	-20.89616002818286	-20.943336989370124
136	-19.74133803445722	-20.664381944002113	-20.839359583218997	-20.966165809207418
137	-19.680837005646712	-20.66940304724566	-20.766321172527498	-20.981797793700476
138	-19.6241280689136	-20.689374965944825	-20.685587552313752	-20.991214510609538
139	-19.569577899020217	-20.725732359456813	-20.60787885335722	-20.996156618716924
140	-19.520689718166757	-20.774986597501446	-20.543101447354836	-20.99836258045571
141	-19.484346963943214	-20.829897143570747	-20.49780207151723	-20.998971784788356
142	-19.465640238276293	-20.882177335631376	-20.474568078640402	-20.998273357770163
143	-19.463543640153375	-20.92533948917926	-20.472913464881007	-20.99583642918514
144	-19.47136892245026	-20.95606308980445	-20.490706702928314	-20.990230906740663
