episodes,Transfer,No-Transfer
116,-149.0695092259,-174.9360950973
117,-151.8485170377,-175.0084973838
118,-155.7758212293,-175.0880322267
119,-160.2486071067,-175.1285841678
120,-164.625928467,-175.170893825
121,-168.3988112893,-175.2620544412
122,-171.3475556768,-175.3568307457
123,-173.6085915424,-175.270566484
124,-175.6227343504,-174.679645078
125,-177.9842422601,-173.2092003858
126,-181.2180567338,-170.5602005455
127,-185.5987059601,-166.6488793311
128,-191.0181137397,-161.661238057
129,-197.0055554227,-156.0449041524
130,-202.8448621003,-150.4206496538
131,-207.7643363097,-145.447127616
132,-211.0911662165,-141.663402779
133,-212.3754522077,-139.3935129057
134,-211.4160410831,-138.6796580139
135,-208.2529727891,-139.2906906871
136,-203.1159892087,-140.7785020513
137,-196.4407499813,-142.5737660045
138,-188.8244690669,-144.1020564933
139,-181.0192884475,-144.8717357675
140,-173.8161108052,-144.564497895
141,-167.9387095144,-143.0648804547
142,-163.9127790393,-140.4640144646
143,-162.003856814,-137.0163502042
144,-162.1856787971,-133.1006652375
145,-164.2141205407,-129.1211738772
146,-167.6825083105,-125.478227183
147,-172.0617320273,-122.4860350323
148,-176.7466160017,-120.3484605645
149,-181.0605858369,-119.1508493185
150,-184.3156713667,-118.8780844079
151,-185.9056103503,-119.4597169952
152,-185.4559039048,-120.8143336167
153,-182.9166277485,-122.8735326332
154,-178.6065990721,-125.5815674026
155,-173.120891155,-128.8513589529
156,-167.1527964361,-132.522029646
157,-161.305547733,-136.3212623994
158,-155.9542439864,-139.8646116573
159,-151.1950045926,-142.7167651482
160,-146.9241156894,-144.4749015023
161,-142.9452799369,-144.8737942015
162,-139.1001927671,-143.8488841999
163,-135.3230566467,-141.5557511295
164,-131.6622704697,-138.3204729763
165,-128.2589350699,-134.5601290211
166,-125.2870201264,-130.7006217172
167,-122.9275117595,-127.1038083198
168,-121.3252534352,-124.042589197
169,-120.5699798653,-121.7137185833
170,-120.6320874461,-120.2772344329
171,-121.3652614625,-119.8969347374
172,-122.4781282701,-120.7443121139
173,-123.5869938501,-122.9765230495
174,-124.2868766044,-126.6427558171
175,-124.2502460251,-131.6032104205
176,-123.3011862809,-137.4575281529
177,-121.4718945263,-143.5403636151
178,-118.9666651905,-149.0515265863
179,-116.1051779264,-153.2189745744
180,-113.247495847,-155.5178295768
181,-110.7002366229,-155.8187085037
182,-108.6774304909,-154.4153501533
183,-107.2958208125,-151.9252776145
184,-106.60464267,-149.0973558095
185,-106.6217576027,-146.6007487201
186,-107.3785775119,-144.8705791256
187,-108.923533563,-144.0437462443
188,-111.3245027401,-143.9852273366
189,-114.6306374829,-144.3771334969
190,-118.828600914,-144.8135935424
191,-123.8077571291,-144.9025475917
192,-129.3333442953,-144.3312800064
193,-135.0587676065,-142.9195887282
194,-140.5640942552,-140.6502590263
195,-145.4148436405,-137.6742154349
196,-149.2365142762,-134.2823992588
197,-151.7863712684,-130.8534923772
198,-152.9937445829,-127.7603506814
199,-152.9739736847,-125.2789294064
200,-151.991393141,-123.5336419275
201,-150.3979630513,-122.4670974677
202,-148.5551605677,-121.8649328792
203,-146.7435989999,-121.4238471368
204,-145.1246116339,-120.827476515
205,-143.7246887988,-119.8312207489
206,-142.474248161,-118.2952883746
207,-141.274491816,-116.2152324719
208,-140.0723935554,-113.6915087883
209,-138.9170297969,-110.9016528881
210,-137.9645385937,-108.0653375245
211,-137.4374201093,-105.3972010827
212,-137.546100968,-103.0809217626
213,-138.3878519542,-101.2622262388
214,-139.8804260536,-100.0247191524
215,-141.7459995887,-99.3982278332
216,-143.5468635926,-99.3658159287
217,-144.7973318893,-99.8785758628
218,-145.1081321009,-100.8781016029
219,-144.3041698747,-102.3144863774
220,-142.4902043431,-104.1528379307
221,-140.0175000243,-106.3702119358
222,-137.3883889084,-108.9246927107
223,-135.1063515308,-111.7498354207
224,-133.5508436542,-114.7231369669
225,-132.8977233953,-117.6791447422
226,-133.1039699711,-120.4270360324
227,-133.9681899601,-122.7939837169
228,-135.2066196457,-124.648478183
229,-136.5351375184,-125.941991592
230,-137.7303844672,-126.7126921106
231,-138.6599469214,-127.0710758099
232,-139.2808594074,-127.1743705667
233,-139.6427660071,-127.1909475755
234,-139.843948524,-127.2842569454
235,-140.0242673211,-127.596457655
236,-140.3365309642,-128.2472838809
237,-140.9056096096,-129.3288584857
238,-141.8100529723,-130.8889380042
239,-143.0729270998,-132.9001896853
240,-144.6675439584,-135.2256158071
241,-146.5204813127,-137.6073636437
242,-148.532209878,-139.6866947118
243,-150.5891257688,-141.0851699941
244,-152.5728743446,-141.4899690828
245,-154.3741028547,-140.7493986274
246,-155.9176011892,-138.9092184676
247,-157.2074775259,-136.2196750788
248,-158.3637895035,-133.0770605178
249,-159.6238334988,-129.9401417865
250,-161.2857477527,-127.2341579113
251,-163.5861823031,-125.2670281226
252,-166.5646459649,-124.1615984854
253,-169.9370430875,-123.8406713661
254,-173.1051024205,-124.0392873238
255,-175.2695908565,-124.3808368186
256,-175.6602004206,-124.4609929396
257,-173.7911798494,-123.9565823628
258,-169.6416189936,-122.6972214946
259,-163.7049466787,-120.7074526094
260,-156.8656461678,-118.1787637875
261,-150.1607264714,-115.4369067805
262,-144.5137306235,-112.845308555
263,-140.5245134647,-110.7499488385
264,-138.3866843265,-109.4290631505
265,-137.9216864025,-109.0469760342
266,-138.6950494144,-109.6682866774
267,-140.1788793269,-111.2486660519
268,-141.8547650713,-113.6649775897
269,-143.2901513238,-116.7332327694
270,-144.1482511088,-120.2325793906
271,-144.1727251368,-123.9251094574
272,-143.1763517385,-127.5814033147
273,-141.0569506234,-130.9954743036
274,-137.8465487187,-134.0043468641
275,-133.7121581779,-136.4942719193
276,-128.9735960552,-138.393264281
277,-124.0548624104,-139.6704370603
278,-119.4222639446,-140.3185467558
279,-115.5156926792,-140.3473945412
280,-112.6972913883,-139.7862732977
281,-111.2215543084,-138.7003083711
282,-111.222604714,-137.1949990797
283,-112.6946881385,-135.4371620999
284,-115.4800363583,-133.6317147498
285,-119.2485559949,-132.0096746893
286,-123.5168378909,-130.7806547595
287,-127.6845512371,-130.1104691055
288,-131.1327537033,-130.0807492278
289,-133.3447229851,-130.6991655906
290,-134.0194182194,-131.900153248
291,-133.1555199612,-133.5684665024
292,-131.0413465005,-135.5528468846
293,-128.2055528116,-137.6862413505
294,-125.2817049488,-139.7882777224
295,-122.8582158351,-141.6940426922
296,-121.3431780425,-143.2828689392
297,-120.8846243446,-144.5092052113
298,-121.3535591344,-145.4209532924
299,-122.4088591867,-146.1108566184
300,-123.6037060366,-146.6663729331
301,-124.5085792732,-147.0899828643
302,-124.8185689864,-147.2590015077
303,-124.4110130298,-146.9415023917
304,-123.3427328716,-145.8754106894
305,-121.8001977523,-143.8769880784
306,-120.030979858,-140.9325409945
307,-118.266766152,-137.2297145597
308,-116.6849587491,-133.1319147066
309,-115.3730952483,-129.0754671073
310,-114.3455605832,-125.4766784022
311,-113.5598450427,-122.6372281513
312,-112.9415112276,-120.6980936298
313,-112.4052181321,-119.6318440642
314,-111.8727248574,-119.2792960347
315,-111.2731437672,-119.4124176995
316,-110.5519279974,-119.7817198813
317,-109.66581517,-120.1831580066
318,-108.6062684226,-120.4730321848
319,-107.4097088158,-120.5726136181
320,-106.1741536431,-120.44166839
321,-105.0722500356,-120.0579599034
322,-104.3143288179,-119.3752741082
323,-104.1293564769,-118.3528831196
324,-104.7021077399,-116.9654691314
325,-106.1371593737,-115.241679873
326,-108.4331481352,-113.2889066639
327,-111.4955786702,-111.2946936477
328,-115.1731980757,-109.4997349646
329,-119.294524547,-108.1508345706
330,-123.7122892714,-107.4477863644
331,-128.2999152159,-107.4923189552
332,-132.9399584525,-108.2570308622
333,-137.4926513507,-109.5821006445
