episodes	DQV	DDQN	DQN
45	98.2931799383	13.8838709677	12.7032258065
46	101.0193623581	13.7129032258	12.7129032258
47	102.9995488383	13.5516129032	12.6032258065
48	104.803443868	13.5	        12.5741935484
49	107.0364689074	13.3677419355	12.6903225806
50	110.0383863448	12.964516129	12.6806451613
51	112.7177231371	12.8967741935	12.7419354839
52	114.4863899541	12.8580645161	12.8161290323
53	115.3561545981	12.8	        12.9419354839
54	115.7454695842	12.8032258065	13.0290322581
55	116.135837281	12.7903225806	13
56	116.6112865629	12.6064516129	13.0193548387
57	117.8844274006	12.6225806452	13.2129032258
58	119.6169260847	12.6193548387	13.3580645161
59	121.5290999323	12.6193548387	13.5064516129
60	122.915707948	12.6161290323	13.6806451613
61	124.1336190691	12.3612903226	13.9064516129
62	123.9375516956	12.7741935484	14.1064516129
63	122.9645086097	12.9129032258	14.4096774194
64	122.1636965185	13.5129032258	14.9
65	121.8076547109	14.1741935484	15.2483870968
66	121.856981728	14.7903225806	15.6677419355
67	122.250093992	15.4806451613	16.2935483871
68	123.5804571772	16.0548387097	16.9806451613
69	124.780472216	17.1290322581	17.6161290323
70	126.0392886683	18.3258064516	18.5387096774
71	126.737311076	19.2741935484	19.4967741935
72	126.3254004061	20.1903225806	20.9161290323
73	125.1165877134	21.1548387097	22.8935483871
74	123.5668095346	21.9483870968	25.0935483871
75	122.2662230243	22.6064516129	27.1290322581
76	121.8321302354	23.2258064516	29.8935483871
77	121.942476878	23.9290322581	32.2193548387
78	122.7329498459	24.735483871	34.7838709677
79	122.8444243928	25.6387096774	37.5548387097
80	122.9849612753	26.5774193548	40.0741935484
81	122.5760583503	27.5225806452	42.7677419355
82	121.850176705	28.3	45.4064516129
83	121.8996165125	29.0419354839	48.1838709677
84	122.5438002857	29.8225806452	50.7774193548
85	124.0048499887	30.3838709677	53.2032258065
86	125.9917662982	31.1387096774	55.7548387097
87	128.584292052	32.1193548387	58.2387096774
88	130.7294533424	32.7677419355	60.764516129
89	132.1794119859	33.7258064516	63.2903225806
90	132.1668546507	34.4516129032	65.8741935484
91	131.8244604858	35.4838709677	68.3580645161
92	131.2183998797	36.1741935484	71.1096774194
93	131.989209715	36.5161290323	73.5161290323
94	133.7288141966	37.2741935484	75.9290322581
95	135.4045792917	37.7838709677	78.1612903226
96	136.760094744	38.1709677419	80.6451612903
97	138.0481991127	38.8516129032	83.2387096774
98	139.0947439657	39.5064516129	85.5387096774
99	139.9794721408	40.4870967742	87.5161290323
100	140.8183698023	40.8483870968	90.2806451613
101	141.0486502745	41.3290322581	92.4
102	141.1021881345	42.2419354839	94.6387096774
103	141.7896082412	43.1516129032	96.4419354839
104	142.3326941875	43.9774193548	97.8741935484
105	142.888337469	45.1838709677	99.4064516129
106	143.1839987969	46.6838709677	100.9870967742
107	142.5102639296	47.8677419355	101.764516129
108	140.7962252801	49.5806451613	102.8967741935
109	138.4888337469	51.6612903226	104.1129032258
110	136.6531694112	53.0838709677	104.6032258065
111	134.9973306264	54.9483870968	105.5935483871
112	134.2159936837	56.9258064516	106.6064516129
113	134.5830137604	59.4193548387	107.0903225806
114	134.0882773141	61.3741935484	108.4903225806
115	133.0820362433	63.7677419355	109.3903225806
116	131.461049703	66.8774193548	110.7451612903
117	129.2308820212	69.8612903226	112.335483871
118	127.2217835928	72.8516129032	113.9967741935
119	125.7713361907	75.7064516129	115.4612903226
120	124.7051282051	79.0193548387	116.7612903226
121	125.0435747049	81.2935483871	118.0258064516
122	126.1169260847	84.4580645161	119.7387096774
123	127.9297691556	87.5193548387	120.8612903226
124	129.5145123694	90.9741935484	122.5903225806
125	130.7555831266	94.0741935484	124.0451612903
126	131.6203473945	97.3483870968	125.7064516129
127	132.011391834	100.7419354839	127.4677419355
128	132.9798481089	103.5	129.1096774194
129	134.8339348823	106.9225806452	130.8064516129
130	137.1345965862	109.7709677419	132.4419354839
131	139.9020227085	113.0967741935	133.8032258065
132	143.1796751636	115.6903225806	135.4967741935
133	146.1523046846	117.7129032258	136.9
134	148.3777351681	119.7161290323	138.0580645161
135	149.4543950673	121.8903225806	139.0677419355
136	149.5754192045	123.9806451613	139.9419354839
137	148.9220618092	125.9419354839	141.0322580645
138	148.6029024739	128.2322580645	142.0741935484
139	149.3312279119	129.7193548387	143.6032258065
140	150.8126550869	131.1516129032	144.6483870968
141	152.3769832318	132.7774193548	146.1612903226
142	153.3903301	    134.3258064516	147.4677419355
143	153.9223625837	135.8	        148.7290322581
144	154.6513271675	136.8612903226	150.5741935484
145	157.1710278968	138.9129032258	151.364516129
146	159.9910895556	140.7096774194	152.6258064516
147	162.8688247237	141.0322580645	153.3806451613
148	165.6915557561	142.0290322581	153.9193548387
149	167.4402962629	142.3483870968	154.8806451613
150	168.3888638244	143.4	        155.5193548387
151	168.869163095	143.8	        156.6903225806
152	169.640424092	145.4806451613	157.4612903226
153	169.4791337695	146.3161290323	157.9774193548
154	169.8022783668	146.7387096774	158.6903225806
155	169.6033160388	147.1193548387	159.1774193548
156	168.8454395067	148.035483871	159.9129032258
157	168.1639596962	148.1612903226	160.3
158	168.4666892248	148.5741935484	160.5612903226
159	168.1333558914	149.435483871	160.8129032258
160	167.9434167983	149.564516129	161.3290322581
161	167.956049327	149.5612903226	161.8903225806
162	167.3154748477	149.5387096774	161.5290322581
163	166.5488006617	150.5709677419	161.4774193548
164	165.8515301902	151.135483871	161.4967741935
165	165.7541544477	152.1903225806	161.2677419355
166	166.3872095646	153.6129032258	161.1774193548
167	167.906308745	154.2387096774	161.2548387097
168	170.0433867208	155.3	        161.4322580645
169	172.1348973607	156.4290322581	162
170	174.5757575758	157.8580645161	161.5612903226
171	176.5062786676	158.1225806452	161.6903225806
172	178.5974133394	158.5483870968	162.4032258065
173	181.3776975712	159.8870967742	162.1774193548
174	183.5192871644	160.8322580645	162.464516129
175	184.7419354839	161.9580645161	162.635483871
176	184.8064516129	162.8838709677	162.3419354839
177	184.7419354839	163.6096774194	162.4193548387
178	184.1612903226	165.1258064516	163.0258064516
179	183.6451612903	166.1322580645	163.1258064516
180	183.7741935484	167.5580645161	163.5516129032
181	183.4838709677	168.4677419355	163.7129032258
182	183.4838709677	169.235483871	163.935483871
183	183	            170.0967741935	164.3064516129
184	183.3225806452	170.8064516129	164.4548387097
185	183.4516129032	172.0935483871	165.0225806452
186	183.3225806452	173.1709677419	165.5064516129
187	183.2258064516	173.4322580645	165.8419354839
188	183.5483870968	174.4870967742	166.5096774194
189	182.9032258065	175.4516129032	167.0935483871
190	182.7741935484	175.8935483871	167.7677419355
191	182.7741935484	176.2612903226	167.7612903226
192	182.1935483871	177.2870967742	167.9193548387
193	182.3870967742	177.635483871	168.5774193548
194	181.935483871	177.2967741935	169.0032258065
195	182.2903225806	177.9451612903	169.3967741935
196	181.9032258065	177.8258064516	170.1161290323
197	182.3225806452	177.4032258065	170.7903225806
198	182.8387096774	177.864516129	170.9193548387
199	182.8387096774	177.5032258065	171.1612903226
200	183.7419354839	177.1806451613	170.8967741935
201	183.6451612903	176.9967741935	171.2935483871
202	184.3225806452	177.3516129032	171.0193548387
203	184.5806451613	177.5967741935	170.7193548387
204	183.8709677419	176.5741935484	171.3322580645
205	184.0967741935	175.9032258065	171.2774193548
206	184.4838709677	175.135483871	171.135483871
207	184.2903225806	174.6096774194	171.5870967742
208	183.9677419355	173.7451612903	171.9290322581
209	184.1290322581	173.3774193548	171.9612903226
210	183.9677419355	173.6258064516	171.8903225806
211	183.7419354839	173.7548387097	171.1677419355
212	184.6129032258	174.2677419355	171.2483870968
213	184.9677419355	174.6516129032	170.8870967742
214	185.5483870968	174.9870967742	170.8451612903
215	185.8387096774	175.1258064516	171.4193548387
216	185.7419354839	175.5290322581	171.9258064516
217	185.4838709677	175.6516129032	172.1903225806
218	185.935483871	176.2	        172.5580645161
219	186.1290322581	176.5580645161	172.5903225806
220	185.8709677419	176.7129032258	172.5322580645
221	185.7419354839	177.3064516129	171.9677419355
222	185.8064516129	178.0387096774	171.9903225806
223	185.5806451613	178.3806451613	172.3
224	185.3870967742	178.5741935484	172.4741935484
225	185.9032258065	178.635483871	171.9096774194
226	185.7419354839	178.4870967742	171.9580645161
227	185.8709677419	179.1193548387	172.3580645161
228	185.6451612903	179.5774193548	172.3548387097
229	185.2580645161	179.5612903226	172.3806451613
230	185.5483870968	180.3516129032	172.4451612903
231	184.9032258065	181.3935483871	173.4064516129
232	184.5483870968	181.8096774194	174.1903225806
233	184.5806451613	182.7290322581	175.3161290323
234	185	            184.0322580645	175.8290322581
235	185.6129032258	185.3193548387	176.0677419355
236	185.5806451613	186.6193548387	176.2870967742
237	185.9032258065	187.6387096774	176.4709677419
238	186.064516129	188.3	        176.3032258065
239	186.1612903226	188.9161290323	176.4548387097
240	186.2258064516	188.6516129032	176.4483870968
241	186.6129032258	187.2	        176.8967741935
242	186.8709677419	186.5838709677	177.9258064516
243	185.9677419355	185.7903225806	178.8
244	186.2258064516	185.6129032258	179.5548387097
245	185.7419354839	185.2096774194	180.0967741935
246	185.4838709677	184.7161290323	180.0290322581
247	185.3870967742	184.2838709677	179.6903225806
248	185.5806451613	183.7096774194	179.5838709677
249	185.8709677419	183.2903225806	179.2225806452
250	185.8709677419	182.6290322581	178.5096774194
251	186.8387096774	182.4903225806	178.0032258065
252	186.9677419355	182.0161290323	178.064516129
253	187.0967741935	181.6419354839	178.4612903226
254	187.2903225806	181.5322580645	178.2870967742
255	187.2580645161	181.9580645161	177.7129032258
256	186.9032258065	182.4387096774	178.435483871
257	186.6774193548	183.2258064516	178.8548387097
258	186.8064516129	183.1677419355	179.1612903226
259	186.2258064516	183.2903225806	179.7709677419
260	186.064516129	183.7967741935	180.564516129
261	185.9677419355	183.8967741935	181.1387096774
262	186.5161290323	183.8483870968	181.2129032258
263	186.7741935484	183.464516129	181.3129032258
264	186.4838709677	183.6193548387	180.9935483871
265	186.3548387097	183.7096774194	180.9161290323
266	186.2580645161	183.7580645161	181.0516129032
267	186.4838709677	182.9677419355	181.2516129032
268	186.5483870968	182.9258064516	181.5580645161
269	186.1612903226	182.6129032258	181.8419354839
270	186.5806451613	182.8064516129	182.0096774194
271	186.1612903226	183.3516129032	182.3967741935
272	185.9032258065	184.7096774194	182.9129032258
273	186	            185.1741935484	182.8129032258
274	186.1935483871	185.6709677419	182.7129032258
275	186.1612903226	185.6677419355	182.764516129
276	186.3548387097	185.9193548387	182.9677419355
277	185.8709677419	186.3290322581	182.664516129
278	185.2903225806	186.4193548387	182.5161290323
279	185.2580645161	186.9709677419	182.4064516129
280	184.6774193548	186.9225806452	182.7032258065
281	184.1935483871	187.064516129	183.664516129
282	183.5806451613	186.7419354839	183.6838709677
283	183.4193548387	186.7870967742	183.3806451613
284	183.6774193548	187.1129032258	183.0774193548
285	183.7741935484	187.1487903226	183.0041935484
286	183.9032258065	187.1846774194	182.9309677419
287	183.6451612903	187.2205645161	182.8577419355
288	183.3548387097	187.2564516129	182.784516129
289	183.6451612903	187.2923387097	182.7112903226
290	184.1612903226	187.3282258065	182.6380645161
291	184.2580645161	187.3641129032	182.5648387097
292	184.3548387097	187.4	        182.4916129032
293	183.7741935484	187.4358870968	182.4183870968
294	184.1612903226	187.4717741935	182.3451612903
295	183.8064516129	187.5076612903	182.2719354839
296	183	            187.5435483871	182.1987096774
297	183	            187.5794354839	182.125483871
298	183	            187.6153225806	182.0522580645
299	182.4516129032	187.6512096774	181.9790322581

