episodes	DQV	DQV-Max	DQN	DDQN
27	-17.831787976292524	-14.016982258302766	-12.339102543257505	-7.116204128512123
28	-16.531490748191015	-15.805305575431476	-12.928430330000428	-8.057332028012512
29	-15.470554083231663	-17.666355502513575	-13.466641148017098	-9.204823982865731
30	-14.785977688316821	-19.327997888288536	-13.791288294791185	-10.410884253534784
31	-14.560635423763747	-20.56972664397748	-13.8186646533706	-11.510626227593281
32	-14.77845163619963	-21.25993763287664	-13.571912081516583	-12.355796639903598
33	-15.309663862633368	-21.36500387729808	-13.148579229512647	-12.84512237333227
34	-15.942239534769403	-20.940751753096745	-12.659053596955406	-12.938393734103897
35	-16.446087225187334	-20.11038872801251	-12.183139215633684	-12.657091028258272
36	-16.636621385718424	-19.03294311003427	-11.755843802473283	-12.080087333087175
37	-16.40858203142789	-17.871346006543604	-11.392101555575646	-11.333070868626075
38	-15.732453364020001	-16.765651492943476	-11.107638390775515	-10.562705432248338
39	-14.629453928576105	-15.81020236134768	-10.932749603873546	-9.891542395524871
40	-13.15859144479306	-15.043367399108257	-10.902536917570995	-9.3791271030153
41	-11.415460548632756	-14.447766699420981	-11.03529381351124	-9.025469519038763
42	-9.529369056396074	-13.969402305813066	-11.310413682409857	-8.818877892475577
43	-7.655931567212832	-13.547717938276895	-11.664955468874473	-8.785913623379475
44	-5.946322807243988	-13.142801091951137	-12.006832428902674	-9.001199726546327
45	-4.524810521047618	-12.748106134565258	-12.245386528511641	-9.54606952038954
46	-3.473949993390368	-12.383667275977606	-12.320834400536679	-10.452603744008723
47	-2.84049053074643	-12.077924246340842	-12.221209070775222	-11.675720670473423
48	-2.644871273048196	-11.84568754056501	-11.98155643870658	-13.109065115857526
49	-2.880955566491725	-11.678362644924523	-11.671099382015178	-14.61911294050285
50	-3.498924416850964	-11.545019678641498	-11.372891368400598	-16.070497837053022
51	-4.38154979198281	-11.409126277792335	-11.168482417363212	-17.334347934856133
52	-5.34401059405458	-11.253626476538312	-11.124705946721663	-18.298877640545346
53	-6.164252941363257	-11.10464619233721	-11.276748376862589	-18.873502254826427
54	-6.651285684785461	-11.030858216573607	-11.619494081974265	-18.99496217397313
55	-6.7122638546871025	-11.116232214549118	-12.100137711271891	-18.64192931567368
56	-6.384158534067967	-11.416732068518218	-12.624572326140003	-17.857826975357845
57	-5.812651908525214	-11.929827067264462	-13.072878415518646	-16.774537260241857
58	-5.1914702520222145	-12.589529271167788	-13.335749516940588	-15.60746950975009
59	-4.6938472058986935	-13.28860783521662	-13.35538770713775	-14.594905858465015
60	-4.423680853222048	-13.905264700775458	-13.150901526428662	-13.90382058161118
61	-4.396308248757985	-14.326238934799278	-12.816341032712275	-13.547804659229728
62	-4.550999313644825	-14.465270804430249	-12.475801586936289	-13.369599149044388
63	-4.78091955083986	-14.291625632323045	-12.231363190645824	-13.106164997356938
64	-4.976565219712043	-13.858310550012902	-12.122764989840775	-12.515552507968012
65	-5.0623466167988145	-13.29694586539486	-12.12586034968066	-11.50398453135957
66	-5.026694480887321	-12.769570538478344	-12.178441826525303	-10.187718716017159
67	-4.922752606165193	-12.390218246016296	-12.215422292536239	-8.855888678096214
68	-4.836136672263234	-12.172621769769565	-12.193869357731684	-7.844985655732519
69	-4.828160497526369	-12.036558469145877	-12.108589863144896	-7.393513007456448
70	-4.885575879128596	-11.873076723368206	-12.004378002624204	-7.550857983826015
71	-4.918245176622788	-11.609995925287443	-11.98221221424196	-8.174005852969499
72	-4.811210797476746	-11.235123183840972	-12.184325412568157	-9.009666000353752
73	-4.506720090672805	-10.776510461517498	-12.744373463224871	-9.800647655975435
74	-4.0592047516678	-10.267322456189746	-13.711765863806969	-10.384074950938029
75	-3.625792841801144	-9.7351314027988	-14.984192771234937	-10.73677847010178
76	-3.3926905714911215	-9.212312249304961	-16.294463215086736	-10.956639729185795
77	-3.480747004902641	-8.747286604358015	-17.281132791690226	-11.184777304326445
78	-3.8833473773015332	-8.397110419957063	-17.622678240178175	-11.519119529831377
79	-4.465662205739508	-8.203699780946291	-17.17474148402018	-11.952680349053333
80	-5.022184817593203	-8.167170371415292	-16.042224919707216	-12.378485742151422
81	-5.357083747545915	-8.235038327454959	-14.538983756963077	-12.650932755728634
82	-5.351726504734918	-8.315966997991774	-13.058542889335175	-12.660073224370475
83	-4.992302475464934	-8.312485254020398	-11.918040372019872	-12.380644777236764
84	-4.357019120634839	-8.161723494595282	-11.257144747258991	-11.869444317134919
85	-3.580994532572689	-7.861856988177102	-11.02791070965917	-11.22365190315701
86	-2.8156670872059784	-7.473807353876527	-11.063242208455812	-10.535970703825924
87	-2.196625228898718	-7.0910580025892385	-11.17666995618617	-9.870755275106777
88	-1.8216900569539582	-6.800335055962619	-11.240092721792655	-9.280935273065767
89	-1.7356178629396632	-6.6500307466667925	-11.221634274896521	-8.831206765045298
90	-1.9301439944798335	-6.6427623553829545	-11.182460483733841	-8.604839846020624
91	-2.3509744599383353	-6.743060556188232	-11.248302267446839	-8.673404812311894
92	-2.9213898211914637	-6.890640686935393	-11.555558289179734	-9.05997365755569
93	-3.5691432427099636	-7.014776296331512	-12.188447012505497	-9.711177131519609
