episodes	DQV	Hard-DQV
99	-5.844085631047853	-2.2213746726402026
100	-5.059397776962616	-1.8277077863951814
101	-3.835088172604001	-1.7286646324781287
102	-2.3462332155052743	-1.8429848254369179
103	-0.8208158232191168	-2.079217931553476
104	0.5399228275112445	-2.353462131903126
105	1.6158880420178199	-2.5881379462713197
106	2.372043729466427	-2.7164168525774555
107	2.8251231985797487	-2.684923289221844
108	3.008934803354506	-2.468001428924558
109	2.9627085878520183	-2.0864921085485917
110	2.7405801297020758	-1.6184143229895933
111	2.4199525467915044	-1.1830157594032105
112	2.091621892041139	-0.8955858835890118
113	1.8331342559601156	-0.8107345698315761
114	1.6801514257172347	-0.8898853636530295
115	1.6167675352825723	-1.0132017464141172
116	1.5850173779335082	-1.0323453986858986
117	1.5118296589108358	-0.8332308799451817
118	1.3372396233394441	-0.3825955907630691
119	1.0398259129348815	0.25616519951434547
120	0.644962510211208	0.9452600219368116
121	0.21542550187472315	1.5181288316588133
122	-0.1688916135663206	1.8377858603606068
123	-0.4343552952316164	1.839397528093814
124	-0.5269773063855332	1.5434992021751874
125	-0.4210247667831657	1.023573403583414
126	-0.12028311325358226	0.36113643879599955
127	0.3426454800278386	-0.3869732683065782
128	0.9063908145611034	-1.1808287007623246
129	1.4870011600130022	-1.9656348334927407
130	1.9892944039685412	-2.648828603824875
131	2.3253750900267827	-3.1129308536649445
132	2.4402161479120386	-3.2672608689444975
133	2.3316834426854625	-3.0936880341614517
134	2.058696640346238	-2.658954310311837
135	1.7289124438831562	-2.0806751727279105
136	1.4680157767158326	-1.4813446759702107
137	1.3782874156638931	-0.9549819279405419
138	1.505286712512592	-0.5597739354521195
139	1.8319838398894255	-0.3208839237078882
140	2.3022764933634203	-0.23568220418276503
141	2.8584976133615374	-0.27692484738242984
142	3.46335180645461	-0.40103296623568774
143	4.091981736205339	-0.560434339448393
144	4.7065851202333855	-0.7157532613364024
145	5.248400249977471	-0.8457898185709725
146	5.655751601224114	-0.9484970392541066
147	5.886852016577794	-1.0363747423747247
148	5.926696509980111	-1.1271685974500483
149	5.772860282820116	-1.2438932396322948
150	5.428701792796683	-1.4105384341280502
151	4.9206160886128645	-1.6541002316813094
152	4.322168362094073	-1.993207570456353
153	3.7547167980912683	-2.4238607095455516
154	3.3520594873944103	-2.9062119933711403
155	3.2142536550219494	-3.3649395872404866
156	3.38035508802569	-3.7004237028931835
157	3.8256905282815747	-3.804989741530348
158	4.4797522335193	-3.586764886008561
159	5.241012488657776	-2.997446706253592
160	5.995338655597156	-2.0666879122183652
161	6.640352277971498	-0.9157630736857421
162	7.119285457855943	0.26650015517907166
163	7.440724748548675	1.2848503608338895
164	7.666308699074007	2.0024043277347716
165	7.864628492281559	2.3727749880469826
166	8.060243921008512	2.435798729960381
167	8.217184968196825	2.287572962220678
168	8.269374313377755	2.0598015939438965
169	8.177712176429369	1.9118138671745462
170	7.972429718424829	2.0217746467662114
171	7.742761381991954	2.552675295043575
172	7.5820083826935285	3.5859540846564606
173	7.5284614528150655	5.05140478125427
174	7.541674493357015	6.702192537009557
175	7.535065193207575	8.168511421111578
176	7.443284795777725	9.09455262351908
177	7.277577933866315	9.282282287089693
178	7.130290898324206	8.773993398840634
179	7.1205051679438345	7.815786093967962
180	7.319594693048623	6.735961675486386
181	7.702019766837541	5.817458591324067
182	8.156434899592007	5.226942451886886
183	8.539602039345215	5.016810455204018
184	8.743368834571474	5.162623280187029
185	8.734828396728302	5.596283047988072
186	8.565168109490104	6.218466331405846
187	8.343661346367023	6.901172045617366
188	8.194473872065432	7.496982159734888
189	8.20214835988362	7.856874850987996
190	8.366389776040315	7.854082956882219
191	8.595885451499448	7.402021779959021
192	8.756094132871175	6.4765910546240715
193	8.753157032479894	5.126911048229301
194	8.594562017669835	3.4742464213448327
195	8.376392749227165	1.6947869489840335
196	8.213433185405089	-0.012547042566726674
197	8.164275459444593	-1.4585839386047526
198	8.213974033487215	-2.496540334163363
199	8.324148827240734	-3.050658089715359
200	8.486984311428015	-3.138606106591249
201	8.734375234407258	-2.8739663963928432
202	9.095239545237684	-2.4337317179277704
203	9.551444291834711	-1.9983214494227175
204	10.042575633332122	-1.6839912403539476
205	10.51872737170866	-1.5031574850858789
206	11.002028437222432	-1.374931149421046
207	11.587227506089047	-1.177729449283586
208	12.383319840488038	-0.815855083742794
209	13.42751109183207	-0.2638140817823784
210	14.642881043054114	0.43755805706795986
