episodes	DQV	DQV-Max	DQN	DDQN
27	26.26386862127061	2.5056928886632517	3.0761978655065767	1.6581459886690104
28	27.75369182877045	2.885703628688389	3.071542014775161	1.8037171792723092
29	29.03500961510951	3.4094843308562006	2.974403033310049	1.9792804874575407
30	30.09443935842934	4.034829733821282	2.8014905076685985	2.1938596503809946
31	30.930437308876716	4.713260845136601	2.604624775944936	2.4444813699127486
32	31.542950646355855	5.398221317058429	2.458905051593251	2.7076441486875975
33	31.932892253082773	6.062931995021458	2.432737867072242	2.939138204534036
34	32.1128696703479	6.718054802140859	2.554736809227448	3.087682801548632
35	32.119190977708534	7.431049680862901	2.7976536265534904	3.118288115762589
36	32.024524815280806	8.321894662684187	3.0911591843668407	3.032373232341114
37	31.939829876220607	9.532040797103157	3.353921677158139	2.8727205504738174
38	31.99995155318033	11.169165081308433	3.5267260410020196	2.70832787892
39	32.33388490916997	13.255321450839041	3.5858275952520353	2.605648338448159
40	33.02164390015801	15.703215896114427	3.538283770891664	2.5995355083636813
41	34.066840500538795	18.335484556428106	3.4085862183133444	2.676763408957831
42	35.4057194221822	20.929947965554973	3.2280163443843333	2.779905987715575
43	36.95812535778641	23.28623688851087	3.029851230714306	2.8314719524152645
44	38.68869445099637	25.292896220908794	2.8464809262616217	2.7683862192311244
45	40.62856781824366	26.993240698475645	2.7027709485939027	2.573127167120152
46	42.83719873479063	28.625338779614648	2.6093695412725335	2.2838986364391696
47	45.32933457926474	30.600006707666324	2.5575896101657705	1.9802861342026186
48	48.02147768113574	33.3875607938141	2.520984979529077	1.7494005603153087
49	50.748056471540835	37.34120362549162	2.464088217734672	1.6550289319454385
50	53.3348523067711	42.540523397029375	2.355920992178107	1.7166575383934304
51	55.67756216898029	48.73232345128363	2.1814507749630865	1.9113266488592398
52	57.776283789423154	55.39324766550439	1.94740450873852	2.1886152844660054
53	59.710964829530205	61.86828222800417	1.6804204548089277	2.4929567210318777
54	61.59294488465291	67.51443985425644	1.418855336630926	2.783624040009033
55	63.52716485835174	71.81166349386947	1.205264632570071	3.043195050294421
56	65.60028574667723	74.44840983316872	1.0797272304295578	3.270357848038522
57	67.87482449832402	75.39891156510522	1.0728676888972166	3.4591649147834325
58	70.37010840414399	74.98519396057982	1.1986518416262903	3.5821429088652126
59	73.03269010870602	73.86260614276506	1.4460622896031536	3.593458490553406
60	75.7441302131462	72.86816887658999	1.7748993268349404	3.4555587819785414
61	78.36998798062221	72.75538619448807	2.121401595720768	3.1727742228521736
62	80.85059049513875	73.90742364615497	2.41542730126858	2.8053232802034755
63	83.25787543546848	76.19093761057451	2.6038259322876396	2.4534366618568924
64	85.77445859773961	79.04073748379776	2.6699498269554827	2.2186087345700134
65	88.59362248857774	81.73795019959576	2.638394506130453	2.165426289586815
66	91.79618281480676	83.74445191549734	2.5655918381169793	2.3052365062033044
67	95.27527493734954	84.91529724628404	2.5188875200219494	2.6064312138119816
68	98.75285265535473	85.48528850793072	2.5558039402820762	3.02381937657954
69	101.86696741111714	85.8803741748748	2.708028817089102	3.5255161430946402
70	104.29670776633262	86.47230423573563	2.974953036975684	4.101129133673005
71	105.86269720084378	87.43163452132602	3.324469909845076	4.745364497517762
72	106.5770909352812	88.72655420434072	3.7012697155373218	5.431706178984584
73	106.63224350505364	90.2361489865834	4.044039692974717	6.100727030079308
74	106.3520912744087	91.87640559868852	4.306424255763092	6.672304243841712
75	106.10896386064917	93.64017303059775	4.4777727261233	7.083620937275022
76	106.2409463612212	95.55699554727407	4.594159150434814	7.320136838769837
77	106.97247351000112	97.60974283574896	4.729616791717522	7.4254823634063545
78	108.38864808630358	99.68763903996174	4.967180880059359	7.481205666778015
79	110.45651099270043	101.6186820302398	5.3615559851195815	7.57050625136577
80	113.07796795433792	103.2648124824255	5.909459231506826	7.742021770762671
81	116.12338152137798	104.61192435277376	6.543280308906997	7.987982130431723
82	119.4279002338977	105.79902896874661	7.146812441181855	8.243878082893698
83	122.7764849770777	107.05928138785796	7.5878663118474226	8.408764430481606
84	125.92864103403252	108.61140821371649	7.759019168540647	8.388856384368442
85	128.6875603475403	110.56943191812519	7.615237900958595	8.144607423106164
86	130.98967938038732	112.9051433628917	7.200534992013096	7.719835520045008
87	132.92501431700813	115.48657843492586	6.648490156238126	7.237980627170891
88	134.67539469813818	118.15128372106581	6.149458240497214	6.862261215936135
89	136.40698867812404	120.77084892699419	5.897162440069721	6.742288882776899
90	138.19834963549624	123.28560635139863	6.034337703102374	6.96112187893593
91	140.04382558439562	125.69921900130893	6.618891779081709	7.503799622323673
92	141.89822892060118	128.05300087721454	7.619861784070473	8.253522315583147
93	143.70963741841337	130.38932773849632	8.928199230443713	9.025578257398294
94	145.4223500228805	132.7291347078674	10.373477398015238	9.634547207636475
95	146.96879909855403	135.07636567466125	11.74691200001182	9.971720526008902
96	148.2964565242353	137.44616505228728	12.842542179055373	10.0555440353127
97	149.42794408289708	139.87997138354135	13.511444716386613	10.018016242043394
98	150.4855997013828	142.4460334185113	13.70470339792665	10.034365312579196
99	151.65539084253044	145.19725751632944	13.475980590586902	10.235995502262565
100	153.11021322477418	148.1708681284611	12.94271966059101	10.65646458775047
101	154.92899745863917	151.40296453641125	12.234149036177854	11.23995480617311
102	157.13585305430598	154.99354200490632	11.467329397957098	11.898061434826753
