episodes	DQV	Hard-DQV
193	-18.26598350396643	-19.70325350196542
194	-18.358917675947225	-19.708043915293146
195	-18.477462864952514	-19.77010748119465
196	-18.59317049492824	-19.86564727660037
197	-18.674675647254844	-19.961955075051208
198	-18.695520995284593	-20.031756165957567
199	-18.642165957236788	-20.06399557057747
200	-18.51841630888508	-20.06545902208081
201	-18.345267642283908	-20.053894736624066
202	-18.157150251764005	-20.0466737715233
203	-17.994041651698296	-20.05128813447611
204	-17.89073365799355	-20.06159211201618
205	-17.865271737151552	-20.061386961394742
206	-17.90997518076666	-20.032229451532196
207	-17.99076756868562	-19.96175193158012
208	-18.057912655335457	-19.847425319829217
209	-18.06623232741158	-19.695155585807562
210	-17.996879774001965	-19.514766870883108
211	-17.868519861641758	-19.31692102761204
212	-17.730930435477635	-19.113445004131105
213	-17.641983439707047	-18.91905209199288
214	-17.64028003454259	-18.75208466611847
215	-17.72849837361363	-18.632871419170243
216	-17.874452193560074	-18.579909403977933
217	-18.029025078149296	-18.6058286921381
218	-18.148778028398382	-18.712994253781886
219	-18.211813225731074	-18.8904029398086
220	-18.22067785544779	-19.113498171314433
221	-18.19440051301687	-19.34967896786982
222	-18.15491135843724	-19.56811930142472
223	-18.115262449565165	-19.748223328090482
224	-18.07380816970685	-19.882404711228084
225	-18.016686287221308	-19.973154613945354
226	-17.928298669183278	-20.027833870956954
227	-17.80483482422632	-20.056272212813656
228	-17.664413076230836	-20.070081157429648
229	-17.545174406438175	-20.08128084858683
230	-17.490726442365215	-20.098070484549165
231	-17.528837994491226	-20.120485157697487
232	-17.655047454081167	-20.138731946361386
233	-17.830869296846124	-20.13770816719595
234	-17.997272822091087	-20.105098400913214
235	-18.096521876365962	-20.03792344194067
236	-18.09234042847654	-19.94443898814746
237	-17.980291296492716	-19.839774848977438
238	-17.786397641511726	-19.739342868658145
239	-17.5569122650906	-19.653111020260578
240	-17.343209523959686	-19.584891147801265
241	-17.18749058094717	-19.535077477347773
242	-17.111631466074606	-19.503465613607897
243	-17.112835544131315	-19.489607144553176
244	-17.167294346789422	-19.490621224451807
245	-17.240790001382077	-19.499614902127846
246	-17.3021100845086	-19.507351814242668
247	-17.332654895903023	-19.505483729177993
248	-17.33011715258914	-19.488242745625776
249	-17.305549461887765	-19.44981605629502
250	-17.277566505303543	-19.380169482017024
251	-17.265937226755483	-19.26475632537391
252	-17.28600957325376	-19.091897313308134
253	-17.34563777561344	-18.864535769597587
254	-17.444080297460467	-18.60738622154591
255	-17.57341959973461	-18.362205584474694
256	-17.720924659642847	-18.17236934307659
257	-17.870428314823677	-18.066775527054318
258	-18.002598553769282	-18.052713788775634
259	-18.095102403781556	-18.119082353888956
260	-18.12668501093429	-18.24425683868357
261	-18.084194903633772	-18.40111245730045
262	-17.970945135590657	-18.559515242780968
263	-17.80988730565733	-18.69009147232034
264	-17.636766494227956	-18.771789685978938
265	-17.486069852739355	-18.79933655725247
266	-17.374602958063072	-18.785084630005542
267	-17.29600964035567	-18.753099408856336
