episodes	DQV	DQV-Max	DQN	DDQN
79	-20.236715106174753	-20.430250725653877	-20.49205295658943	-20.365466554084378
80	-20.293548263336177	-20.365998133531054	-20.557833136086806	-20.430917615729022
81	-20.34765249802591	-20.326260373209696	-20.614836416809727	-20.507054222913915
82	-20.390110664093086	-20.309825705768066	-20.651326495044813	-20.57332945388407
83	-20.420027524636637	-20.31082889863094	-20.659472637903658	-20.613451045271535
84	-20.44446178849058	-20.32163683822335	-20.636094815017138	-20.617855108115638
85	-20.473530110626967	-20.33446632049845	-20.583188128080472	-20.58433299074243
86	-20.513672865003763	-20.34266475954913	-20.508277870952902	-20.517929765880986
87	-20.56370606796114	-20.341970413034556	-20.423627280778675	-20.430306314480475
88	-20.615110104086778	-20.332115106994546	-20.34376528480215	-20.337710765832522
89	-20.656357506667792	-20.316359418895416	-20.281172357977226	-20.25682531155666
90	-20.677670702295973	-20.299043336422702	-20.242116676455236	-20.199884050252443
91	-20.674080450586438	-20.28286064089975	-20.22438076751829	-20.170847105979526
92	-20.646220685134388	-20.26808332862445	-20.219003692005103	-20.165498840026327
93	-20.599873300810778	-20.254597136815455	-20.215284995772066	-20.175565882369142
94	-20.544875065545195	-20.244043311807566	-20.206121805826132	-20.19412670308084
95	-20.493332006439317	-20.240729107826844	-20.19075740813324	-20.218606585741195
96	-20.456568332247954	-20.24949899721287	-20.173836570948684	-20.24922344692625
97	-20.44136782899387	-20.272909535503654	-20.161248683772463	-20.284675704970166
98	-20.44730694489981	-20.308887984447136	-20.15573809290404	-20.319698094056328
99	-20.4670844828041	-20.351124797335494	-20.15491458396007	-20.346564069142747
100	-20.490248185510865	-20.391595503899204	-20.15263058990574	-20.359052864314386
101	-20.50811989703813	-20.424511004941	-20.14326400340665	-20.355157635040985
102	-20.516705418705286	-20.449279617650955	-20.125923475124054	-20.336802589000214
103	-20.516196432024984	-20.470889379617844	-20.10610329869629	-20.307542746763648
104	-20.508190532998967	-20.497692058928024	-20.093951288730842	-20.27092922547538
105	-20.493114178779607	-20.536898804013646	-20.100107892320537	-20.231416267791523
106	-20.46998219931853	-20.59020086569174	-20.131458593398897	-20.195930053043476
107	-20.437817587859527	-20.651780189029573	-20.188543450054325	-20.173586976080067
108	-20.396572216437114	-20.71022488760113	-20.26474951301727	-20.171883607693633
109	-20.346083187320865	-20.753317516185497	-20.347041977643226	-20.19117283202629
110	-20.28452634262517	-20.77317153592584	-20.418060664234286	-20.220976414517494
111	-20.208849140813538	-20.76891687750109	-20.459995439575657	-20.24162338625335
112	-20.11825573341749	-20.745897019507716	-20.460206120278908	-20.23158439363847
113	-20.01883444556851	-20.71211516862673	-20.416517820491144	-20.177635792668923
114	-19.924370098245838	-20.675010438798527	-20.340212656051392	-20.083161722193353
115	-19.851365796604952	-20.63949302859086	-20.25352027151962	-19.9697719454655
116	-19.81078067977063	-20.607966900049156	-20.182366843290918	-19.87060146868903
117	-19.802198721292473	-20.58155327530367	-20.146239547330662	-19.817099169588623
118	-19.81457912146801	-20.56104131358849	-20.1509001940065	-19.825744085054254
119	-19.833100187816797	-20.54757610921796	-20.187660122520434	-19.891156327192633
120	-19.846416017229753	-20.54238700912917	-20.239681870054433	-19.989926210621
121	-19.850153726376693	-20.546236050173732	-20.291420348695755	-20.09237189601909
122	-19.84563525203561	-20.55872656679393	-20.33586645497784	-20.175853861092396
123	-19.83694852776565	-20.577930215098526	-20.375417843614972	-20.23207109641146
124	-19.829353989193812	-20.600692553760375	-20.416468639484215	-20.26597928654587
125	-19.82913665890095	-20.623463410649443	-20.4626528268624	-20.288842401833854
126	-19.842830789732684	-20.64343154122305	-20.511106048611765	-20.31075098645777
127	-19.874548666831416	-20.659337113661728	-20.55389973951111	-20.336845134793897
128	-19.92166399498384	-20.671622151499257	-20.58256384188267	-20.36776722989554
129	-19.973119151682933	-20.681402108055373	-20.59242376861405	-20.40216110344892
130	-20.012579502431798	-20.68917726432602	-20.584045853040752	-20.438623397012513
131	-20.024779369629407	-20.69384043723543	-20.5621650368931	-20.475856085646
132	-20.002839843679432	-20.69301095164439	-20.533201530172228	-20.511470302007638
133	-19.95087515015323	-20.684406003781884	-20.503203062133466	-20.541301892529134
134	-19.881454911051065	-20.66764505193899	-20.47650767285113	-20.56023535351119
135	-19.808657185450453	-20.645244225724532	-20.454873057875336	-20.564586680033607
136	-19.74133803445722	-20.622291818261687	-20.437334673735542	-20.553804626561405
137	-19.680837005646712	-20.60545611082378	-20.420986404737853	-20.530153551443917
138	-19.6241280689136	-20.601263521102457	-20.402911363757497	-20.49667615769991
