epochs target_catch std_target_catch Catch_v2 Catch_v2_std Catch_v3 Catch_v3_std Catch_v4 Catch_v4_std
195 0.97 0.005555555555555536 0.8 0.15 0.56556 0.11 0.93 0.01
196 0.96889 0.006666666666666654 0.80889 0.14 0.57444 0.11 0.93222 0.0
197 0.96444 0.00888888888888889 0.82778 0.13 0.58222 0.12 0.94111 0.0
198 0.96778 0.007777777777777772 0.83444 0.12 0.58111 0.11 0.94556 0.0
199 0.97 0.007777777777777772 0.84333 0.11 0.56 0.09 0.93556 0.01
200 0.97111 0.0022222222222222365 0.84778 0.09 0.55111 0.09 0.93667 0.02
201 0.97556 0.0 0.82778 0.11 0.54444 0.11 0.92222 0.02
202 0.97444 0.0011111111111110628 0.81778 0.11 0.53556 0.11 0.92111 0.01
203 0.97556 0.0 0.81444 0.13 0.55444 0.14 0.93111 0.01
204 0.98 0.0022222222222222365 0.81 0.13 0.56 0.14 0.93222 0.01
205 0.97778 0.0022222222222222365 0.80667 0.13 0.54222 0.12 0.93556 0.01
206 0.97889 0.003333333333333355 0.82333 0.13 0.54333 0.12 0.94111 0.01
207 0.97556 0.006666666666666654 0.83333 0.11 0.53889 0.12 0.93778 0.0
208 0.97333 0.0 0.83444 0.11 0.53 0.13 0.94444 0.01
209 0.97222 0.0033333333333332993 0.85222 0.1 0.53 0.13 0.94667 0.02
210 0.97778 0.006666666666666654 0.85111 0.12 0.54111 0.13 0.93889 0.02
211 0.97889 0.003333333333333355 0.83889 0.12 0.53111 0.13 0.94556 0.03
212 0.98333 0.003333333333333355 0.84556 0.13 0.53222 0.12 0.94333 0.03
213 0.97889 0.0011111111111111183 0.81889 0.14 0.53667 0.11 0.94222 0.03
214 0.97667 0.0033333333333332993 0.80556 0.15 0.52889 0.1 0.93556 0.02
215 0.97222 0.007777777777777772 0.81333 0.14 0.52333 0.11 0.93889 0.02
216 0.96889 0.004444444444444473 0.79 0.16 0.54111 0.12 0.94222 0.02
217 0.96889 0.006666666666666654 0.79444 0.15 0.54556 0.12 0.93778 0.02
218 0.96778 0.003333333333333355 0.81222 0.13 0.54222 0.13 0.93556 0.01
219 0.96444 0.0022222222222222365 0.80778 0.12 0.54556 0.12 0.93444 0.01
