epochs baseline std_baseline tl std_tl
92 0.2375 0.057499999999999996 0.3625 0.007500000000000007
93 0.24 0.06 0.365 0.015000000000000013
94 0.24 0.06 0.365 0.015000000000000013
95 0.2375 0.057499999999999996 0.37 0.010000000000000009
96 0.24 0.06 0.3675 0.012500000000000011
97 0.245 0.06 0.365 0.015000000000000013
98 0.2475 0.057499999999999996 0.37 0.015000000000000013
99 0.2475 0.057499999999999996 0.3725 0.012500000000000011
100 0.2475 0.05249999999999999 0.375 0.015000000000000013
101 0.245 0.05499999999999999 0.3725 0.017500000000000016
102 0.2475 0.057499999999999996 0.3775 0.017500000000000016
103 0.2475 0.057499999999999996 0.385 0.020000000000000018
104 0.2425 0.057499999999999996 0.385 0.020000000000000018
105 0.245 0.05499999999999999 0.38749999999999996 0.022499999999999996
106 0.2475 0.05249999999999999 0.39249999999999996 0.022499999999999996
107 0.2525 0.05249999999999999 0.39249999999999996 0.027499999999999997
108 0.255 0.05 0.38749999999999996 0.027499999999999997
109 0.2525 0.0475 0.39 0.03
110 0.2575 0.0475 0.395 0.024999999999999994
111 0.26 0.045 0.4 0.024999999999999994
112 0.26 0.045 0.405 0.024999999999999994
113 0.265 0.05 0.41500000000000004 0.024999999999999994
114 0.2625 0.0475 0.41000000000000003 0.024999999999999994
115 0.26 0.045 0.41000000000000003 0.01999999999999999
116 0.2675 0.0475 0.4125 0.017499999999999988
117 0.27 0.05 0.41500000000000004 0.014999999999999986
118 0.275 0.05 0.42000000000000004 0.014999999999999986
119 0.2725 0.0475 0.42500000000000004 0.01999999999999999
120 0.27 0.039999999999999994 0.43 0.020000000000000018
121 0.27 0.039999999999999994 0.435 0.025000000000000022
122 0.2725 0.042499999999999996 0.44 0.025000000000000022
123 0.275 0.04000000000000001 0.4425 0.02250000000000002
124 0.27 0.039999999999999994 0.4475 0.022499999999999996
125 0.27 0.039999999999999994 0.45499999999999996 0.024999999999999994
126 0.27 0.045 0.45499999999999996 0.024999999999999994
