epochs baseline std_baseline only_head std_only_head self_transfer_full_fine_tuning std_self_transfer_full_fine_tuning hybrid_self_transfer std_hybrid_self_transfer
97 0.9633333333333334 0.005555555555555591 0.9844444444444445 0.004444444444444473 0.7122222222222222 0.25222222222222224 0.8466666666666667 0.0822222222222222
98 0.9622222222222222 0.0022222222222222365 0.9866666666666667 0.0022222222222222365 0.6966666666666667 0.2611111111111111 0.8544444444444445 0.08111111111111113
99 0.9722222222222222 0.0033333333333332993 0.9877777777777779 0.003333333333333355 0.6977777777777777 0.2622222222222222 0.8433333333333333 0.09666666666666662
100 0.9688888888888889 0.0 0.9777777777777779 0.006666666666666654 0.6977777777777778 0.2577777777777778 0.8555555555555555 0.10444444444444445
101 0.97 0.0011111111111111183 0.9722222222222222 0.005555555555555536 0.6799999999999999 0.26666666666666666 0.8577777777777778 0.09333333333333332
102 0.9722222222222222 0.0033333333333332993 0.9688888888888889 0.00888888888888889 0.6844444444444444 0.27111111111111114 0.8577777777777778 0.08666666666666667
103 0.9722222222222223 0.0011111111111111183 0.97 0.010000000000000009 0.7088888888888889 0.25333333333333335 0.8622222222222222 0.09333333333333338
104 0.9688888888888889 0.0022222222222222365 0.9677777777777778 0.005555555555555591 0.7155555555555555 0.25333333333333335 0.8655555555555556 0.08777777777777779
105 0.9722222222222223 0.0011111111111111183 0.9688888888888889 0.004444444444444473 0.7133333333333334 0.26000000000000006 0.8655555555555556 0.08777777777777779
106 0.9733333333333334 0.0 0.9655555555555555 0.0011111111111111183 0.7177777777777778 0.25333333333333335 0.8666666666666667 0.0977777777777778
107 0.9722222222222222 0.0033333333333332993 0.9622222222222222 0.0022222222222222365 0.7288888888888889 0.25111111111111106 0.8611111111111112 0.09666666666666662
108 0.9733333333333334 0.0044444444444444176 0.96 0.0044444444444444176 0.7344444444444445 0.24111111111111108 0.8633333333333333 0.08777777777777779
109 0.9766666666666666 0.0011111111111111183 0.9611111111111111 0.005555555555555536 0.7344444444444445 0.24111111111111108 0.8611111111111112 0.08555555555555555
110 0.9688888888888889 0.004444444444444473 0.9633333333333334 0.005555555555555591 0.7344444444444445 0.24777777777777776 0.8555555555555556 0.10000000000000003
111 0.97 0.007777777777777772 0.9688888888888889 0.0 0.731111111111111 0.2444444444444444 0.8588888888888888 0.08555555555555555
112 0.971111111111111 0.006666666666666654 0.9733333333333334 0.0044444444444444176 0.7233333333333334 0.25000000000000006 0.8666666666666667 0.08444444444444443
113 0.9722222222222223 0.0011111111111111183 0.9677777777777778 0.0011111111111111183 0.7144444444444444 0.2677777777777778 0.8777777777777778 0.08444444444444443
114 0.9766666666666667 0.0033333333333332993 0.9722222222222222 0.0033333333333332993 0.7088888888888889 0.26888888888888884 0.8566666666666667 0.10333333333333335
115 0.9788888888888889 0.003333333333333355 0.9733333333333334 0.0 0.7144444444444444 0.2633333333333333 0.8588888888888888 0.1077777777777778
116 0.9744444444444444 0.014444444444444482 0.971111111111111 0.0044444444444444176 0.71 0.2677777777777778 0.8522222222222222 0.10555555555555551
117 0.9733333333333334 0.0155555555555556 0.9722222222222222 0.0033333333333332993 0.7055555555555555 0.2611111111111111 0.8533333333333333 0.10222222222222227
118 0.97 0.014444444444444426 0.9722222222222222 0.0033333333333332993 0.7155555555555555 0.25333333333333335 0.8555555555555556 0.10000000000000003
119 0.9677777777777778 0.014444444444444426 0.9688888888888889 0.0022222222222222365 0.7077777777777778 0.26333333333333336 0.8677777777777778 0.08555555555555555
120 0.971111111111111 0.011111111111111127 0.9666666666666667 0.0022222222222222365 0.7155555555555556 0.2577777777777778 0.8822222222222222 0.07333333333333336
121 0.9766666666666667 0.0033333333333332993 0.9633333333333334 0.003333333333333355 0.7122222222222223 0.2611111111111111 0.8822222222222222 0.08000000000000002
122 0.9755555555555555 0.0044444444444444176 0.9666666666666667 0.00666666666666671 0.7055555555555555 0.2611111111111111 0.8855555555555555 0.07444444444444442
123 0.98 0.0 0.9677777777777778 0.005555555555555591 0.6888888888888889 0.2733333333333333 0.8788888888888888 0.07666666666666672
124 0.9733333333333334 0.002222222222222181 0.97 0.007777777777777772 0.6888888888888889 0.2644444444444444 0.8655555555555556 0.08777777777777779
125 0.9722222222222223 0.0011111111111111183 0.9766666666666667 0.0033333333333332993 0.6855555555555556 0.2655555555555556 0.8822222222222222 0.07777777777777778
126 0.9711111111111111 0.0022222222222222365 0.9755555555555555 0.0 0.6977777777777777 0.26 0.8744444444444445 0.0922222222222222
127 0.9755555555555555 0.002222222222222181 0.9677777777777778 0.0011111111111111183 0.7144444444444444 0.24555555555555553 0.8766666666666667 0.09000000000000002
128 0.9688888888888889 0.004444444444444473 0.9655555555555555 0.005555555555555591 0.7166666666666667 0.24777777777777776 0.8755555555555556 0.09555555555555556
